Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,21868.26,-1.133,1.133,2.7,4.201,2.038,3.306,8.107,11.678
2.0,47957.669,-1.134,1.133,2.7,4.201,3.311,3.305,12.665,11.673
3.0,74106.761,-1.133,1.133,2.7,4.2,3.309,3.302,12.66,11.651
4.0,100058.89,-1.133,1.133,2.7,4.201,3.308,3.304,12.657,11.664
5.0,125953.074,-1.134,1.134,2.7,4.201,3.309,3.305,12.654,11.674
6.0,151916.294,-1.134,1.134,2.7,4.201,3.31,3.304,12.658,11.668
7.0,178140.687,-1.134,1.134,2.7,4.201,3.309,3.304,12.658,11.659
8.0,204282.466,-1.134,1.133,2.7,4.201,3.307,3.302,12.653,11.652
9.0,230430.262,-1.134,1.133,2.7,4.201,3.305,3.302,12.647,11.651
10.0,256551.351,-1.134,1.134,2.7,4.201,3.306,3.301,12.649,11.648
11.0,282775.553,-1.134,1.133,2.7,4.201,3.305,3.3,12.644,11.638
12.0,308860.945,-1.134,1.133,2.7,4.201,3.304,3.299,12.643,11.634
13.0,335160.335,-1.134,1.134,2.7,4.201,3.304,3.299,12.641,11.627
14.0,361458.118,-1.133,1.133,2.7,4.201,3.303,3.297,12.64,11.617
15.0,387993.152,-1.133,1.133,2.7,4.201,3.301,3.294,12.633,11.595
16.0,414434.663,-1.133,1.133,2.7,4.201,3.298,3.295,12.631,11.602
17.0,440924.82,-1.134,1.133,2.7,4.2,3.299,3.294,12.631,11.598
18.0,467243.247,-1.134,1.133,2.7,4.201,3.299,3.296,12.631,11.613
19.0,493555.016,-1.134,1.133,2.7,4.201,3.301,3.296,12.632,11.615
20.0,519875.435,-1.134,1.134,2.7,4.201,3.3,3.295,12.629,11.607
21.0,546232.605,-1.134,1.133,2.7,4.201,3.299,3.294,12.628,11.602
22.0,572607.376,-1.134,1.133,2.7,4.201,3.299,3.294,12.626,11.599
23.0,598963.182,-1.134,1.133,2.7,4.201,3.298,3.293,12.622,11.596
24.0,625322.181,-1.134,1.133,2.7,4.201,3.298,3.294,12.622,11.596
25.0,651615.569,-1.134,1.134,2.7,4.201,3.299,3.294,12.622,11.604
26.0,678082.738,-1.134,1.133,2.7,4.201,3.298,3.292,12.62,11.59
