Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,14451.102,-1.6,1.6,2.7,4.2,1.393,3.032,5.681,10.691
2.0,32722.239,-1.6,1.6,2.7,4.2,3.033,3.023,11.813,10.655
3.0,50989.115,-1.6,1.6,2.7,4.2,3.025,3.017,11.786,10.626
4.0,69316.824,-1.6,1.6,2.7,4.2,3.018,3.022,11.764,10.651
5.0,87554.373,-1.6,1.6,2.7,4.2,3.024,3.027,11.78,10.667
6.0,105793.025,-1.6,1.6,2.7,4.2,3.029,3.021,11.795,10.643
7.0,124081.916,-1.6,1.6,2.7,4.2,3.022,3.027,11.774,10.667
8.0,142306.236,-1.6,1.6,2.7,4.2,3.03,3.023,11.799,10.651
9.0,160481.432,-1.6,1.6,2.7,4.2,3.024,3.013,11.779,10.617
10.0,178686.999,-1.6,1.6,2.7,4.2,3.014,3.021,11.744,10.641
11.0,196908.36,-1.6,1.6,2.7,4.2,3.021,3.017,11.768,10.621
12.0,215194.054,-1.6,1.6,2.7,4.2,3.018,3.012,11.758,10.603
13.0,233405.797,-1.6,1.6,2.7,4.2,3.013,2.994,11.741,10.531
14.0,251677.32,-1.6,1.6,2.7,4.2,2.995,2.994,11.684,10.533
15.0,269939.834,-1.6,1.6,2.7,4.2,2.996,2.996,11.685,10.535
16.0,288231.134,-1.6,1.6,2.7,4.2,2.997,2.994,11.688,10.52
17.0,306533.519,-1.6,1.6,2.7,4.2,2.994,2.976,11.679,10.457
18.0,324907.7,-1.6,1.6,2.7,4.2,2.976,2.985,11.623,10.49
19.0,343231.268,-1.6,1.6,2.7,4.2,2.988,2.983,11.659,10.484
20.0,361515.892,-1.6,1.6,2.7,4.2,2.985,2.982,11.648,10.479
21.0,373030.997,-1.6,1.6,2.7,4.2,2.427,2.424,9.308,8.352
22.0,391409.642,-1.6,1.6,2.7,4.2,2.977,2.97,11.626,10.43
23.0,409741.117,-1.6,1.6,2.7,4.2,2.973,2.976,11.61,10.457
24.0,421226.893,-1.6,1.6,2.7,4.2,2.419,2.418,9.28,8.329
25.0,439601.205,-1.6,1.6,2.7,4.2,2.976,2.97,11.624,10.43
26.0,457957.075,-1.6,1.6,2.7,4.2,2.971,2.962,11.606,10.4
27.0,476289.552,-1.6,1.6,2.7,4.2,2.965,2.961,11.59,10.396
28.0,494661.37,-1.6,1.6,2.7,4.2,2.959,2.965,11.567,10.405
29.0,513099.462,-1.6,1.6,2.7,4.2,2.966,2.969,11.589,10.42
30.0,531424.737,-1.6,1.6,2.7,4.2,2.972,2.963,11.605,10.404
31.0,549808.181,-1.6,1.6,2.7,4.2,2.963,2.954,11.575,10.364
32.0,568223.468,-1.6,1.6,2.7,4.2,2.954,2.947,11.549,10.337
33.0,586649.209,-1.6,1.6,2.7,4.2,2.949,2.952,11.531,10.358
