Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,18030.038,-1.133,1.134,2.7,4.2,0.819,3.302,3.389,11.674
2.0,43874.767,-1.133,1.134,2.7,4.2,3.308,3.301,12.659,11.669
3.0,69910.75,-1.133,1.134,2.7,4.2,3.307,3.299,12.655,11.652
4.0,95895.624,-1.133,1.134,2.7,4.2,3.306,3.3,12.657,11.659
5.0,121808.572,-1.133,1.134,2.7,4.2,3.307,3.3,12.652,11.662
6.0,147656.921,-1.133,1.134,2.7,4.2,3.307,3.3,12.654,11.666
7.0,173761.306,-1.133,1.134,2.7,4.2,3.307,3.3,12.654,11.66
8.0,199898.46,-1.133,1.134,2.7,4.2,3.306,3.3,12.654,11.66
9.0,220557.94,-1.133,1.134,2.7,4.2,2.928,2.925,11.068,10.183
10.0,241158.029,-1.133,1.134,2.7,4.2,2.922,2.92,11.042,10.169
11.0,267280.482,-1.133,1.134,2.7,4.2,3.304,3.297,12.646,11.645
12.0,293371.575,-1.133,1.134,2.7,4.2,3.303,3.295,12.642,11.635
13.0,319578.977,-1.133,1.134,2.7,4.2,3.303,3.297,12.645,11.639
14.0,345786.475,-1.133,1.134,2.7,4.2,3.302,3.295,12.642,11.626
15.0,372036.774,-1.133,1.134,2.7,4.2,3.301,3.293,12.641,11.616
16.0,398516.624,-1.133,1.134,2.7,4.2,3.298,3.29,12.63,11.593
17.0,424912.768,-1.133,1.134,2.7,4.2,3.298,3.29,12.633,11.598
18.0,451276.282,-1.133,1.134,2.7,4.2,3.297,3.29,12.629,11.598
19.0,477457.318,-1.133,1.134,2.7,4.2,3.298,3.293,12.631,11.62
20.0,503728.416,-1.133,1.134,2.7,4.2,3.299,3.292,12.631,11.609
21.0,529987.223,-1.133,1.134,2.7,4.2,3.298,3.291,12.628,11.608
22.0,550724.734,-1.133,1.134,2.7,4.2,2.913,2.91,11.011,10.115
23.0,576983.667,-1.133,1.135,2.7,4.2,3.298,3.29,12.626,11.601
24.0,603301.254,-1.133,1.134,2.7,4.2,3.297,3.29,12.625,11.599
25.0,629560.418,-1.133,1.134,2.7,4.2,3.296,3.29,12.622,11.6
26.0,655844.7,-1.133,1.134,2.7,4.201,3.297,3.29,12.622,11.599
27.0,682255.819,-1.133,1.134,2.7,4.2,3.295,3.286,12.617,11.576
28.0,708903.899,-1.133,1.134,2.7,4.2,3.291,3.284,12.611,11.56
29.0,735521.686,-1.133,1.134,2.7,4.2,3.291,3.284,12.61,11.561
30.0,762257.308,-1.133,1.134,2.7,4.2,3.29,3.284,12.608,11.554
31.0,788924.032,-1.133,1.134,2.7,4.2,3.29,3.281,12.609,11.54
32.0,815641.058,-1.133,1.134,2.7,4.2,3.288,3.28,12.603,11.537
33.0,842463.65,-1.133,1.134,2.7,4.2,3.286,3.28,12.598,11.529
34.0,869335.541,-1.133,1.134,2.7,4.2,3.286,3.278,12.6,11.526
35.0,896244.072,-1.133,1.134,2.7,4.2,3.285,3.278,12.596,11.518
36.0,923056.316,-1.133,1.134,2.7,4.2,3.284,3.276,12.592,11.513
37.0,950006.132,-1.133,1.134,2.7,4.2,3.283,3.276,12.588,11.512
38.0,976772.846,-1.133,1.134,2.7,4.2,3.282,3.276,12.587,11.511
39.0,1003694.556,-1.133,1.134,2.7,4.2,3.283,3.276,12.585,11.515
40.0,1030704.973,-1.133,1.134,2.7,4.2,3.282,3.274,12.585,11.502
41.0,1054407.012,-1.6,1.134,2.7,4.2,3.28,3.273,12.579,11.349
42.0,1075474.311,-1.6,1.601,2.7,4.2,3.279,3.273,12.694,11.345
43.0,1096698.735,-1.6,1.601,2.7,4.2,3.278,3.272,12.694,11.339
44.0,1117932.81,-1.6,1.601,2.7,4.2,3.276,3.27,12.686,11.329
45.0,1139329.879,-1.6,1.601,2.7,4.2,3.274,3.268,12.682,11.317
46.0,1160477.684,-1.6,1.601,2.7,4.2,3.274,3.262,12.681,11.289
47.0,1179357.047,-1.6,1.601,2.7,4.2,3.267,3.014,12.661,10.62
48.0,1197600.613,-1.6,1.601,2.7,4.2,3.02,3.019,11.764,10.63
49.0,1215891.041,-1.6,1.601,2.7,4.201,3.025,3.008,11.782,10.591
50.0,1234169.059,-1.6,1.601,2.7,4.2,3.015,3.016,11.747,10.609
51.0,1252493.477,-1.6,1.601,2.7,4.2,3.021,3.012,11.773,10.596
52.0,1270881.82,-1.6,1.601,2.7,4.2,3.019,3.011,11.767,10.594
53.0,1289295.356,-1.6,1.601,2.7,4.2,3.017,3.015,11.76,10.606
54.0,1307727.873,-1.6,1.601,2.7,4.2,3.02,3.013,11.773,10.59
55.0,1326078.651,-1.6,1.601,2.7,4.2,3.016,2.997,11.761,10.535
56.0,1344540.186,-1.6,1.601,2.7,4.2,3.005,3.007,11.718,10.567
57.0,1362927.987,-1.6,1.601,2.7,4.2,3.012,3.003,11.744,10.551
58.0,1381354.499,-1.6,1.601,2.7,4.2,3.01,2.997,11.736,10.536
59.0,1399827.845,-1.6,1.601,2.7,4.2,3.002,3.004,11.712,10.546
60.0,1418373.527,-1.6,1.601,2.7,4.2,3.01,3.0,11.744,10.534
61.0,1436854.308,-1.6,1.601,2.7,4.2,3.005,3.002,11.724,10.535
62.0,1455316.09,-1.6,1.601,2.7,4.2,3.007,2.997,11.73,10.524
63.0,1473780.929,-1.6,1.601,2.7,4.2,3.003,2.997,11.717,10.516
64.0,1492326.739,-1.6,1.601,2.7,4.2,3.002,2.987,11.712,10.48
65.0,1510834.548,-1.6,1.601,2.7,4.2,2.993,2.997,11.681,10.51
66.0,1529390.804,-1.6,1.601,2.7,4.2,3.003,2.991,11.718,10.49
67.0,1547917.366,-1.6,1.601,2.7,4.2,2.997,2.987,11.695,10.479
68.0,1566457.56,-1.6,1.601,2.7,4.2,2.992,2.978,11.681,10.443
69.0,1585027.476,-1.6,1.601,2.7,4.2,2.984,2.982,11.654,10.456
70.0,1603672.06,-1.6,1.601,2.7,4.2,2.988,2.99,11.668,10.478
71.0,1622320.959,-1.6,1.601,2.7,4.2,2.995,2.992,11.694,10.482
72.0,1640925.553,-1.6,1.601,2.7,4.2,2.996,2.98,11.697,10.443
73.0,1659483.699,-1.6,1.601,2.7,4.2,2.985,2.978,11.655,10.436
74.0,1678104.386,-1.6,1.601,2.7,4.2,2.984,2.983,11.654,10.446
75.0,1696759.077,-1.6,1.601,2.7,4.2,2.989,2.976,11.675,10.427
76.0,1715371.162,-1.6,1.601,2.7,4.2,2.982,2.978,11.648,10.428
77.0,1734047.008,-1.6,1.601,2.7,4.2,2.985,2.996,11.661,10.502
78.0,1752651.732,-1.6,1.601,2.7,4.201,3.01,3.001,11.747,10.513
79.0,1771268.933,-1.6,1.601,2.696,4.201,3.004,2.999,11.723,10.51
80.0,1789921.404,-1.6,1.601,2.7,4.201,3.004,2.997,11.722,10.503
