Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,9382.878,-1.6,1.6,2.7,4.261,0.052,3.335,0.191,11.734
2.0,28498.062,-1.6,1.6,2.7,4.2,3.327,3.307,12.834,11.645
3.0,47635.876,-1.6,1.6,2.7,4.2,3.313,3.303,12.768,11.629
4.0,66809.458,-1.6,1.601,2.7,4.2,3.309,3.304,12.751,11.626
5.0,86009.452,-1.6,1.601,2.7,4.2,3.31,3.305,12.756,11.628
6.0,105249.2,-1.6,1.6,2.7,4.2,3.31,3.305,12.757,11.622
7.0,124510.046,-1.6,1.601,2.7,4.2,3.31,3.305,12.758,11.618
8.0,143815.065,-1.6,1.601,2.7,4.2,3.31,3.304,12.759,11.614
9.0,163136.974,-1.6,1.6,2.7,4.2,3.309,3.303,12.755,11.603
10.0,182540.119,-1.6,1.601,2.7,4.2,3.308,3.301,12.753,11.593
11.0,201934.141,-1.6,1.601,2.7,4.2,3.308,3.302,12.754,11.594
12.0,221391.686,-1.6,1.601,2.7,4.2,3.307,3.301,12.752,11.585
13.0,240868.471,-1.6,1.601,2.7,4.2,3.307,3.301,12.751,11.588
14.0,260371.807,-1.6,1.6,2.7,4.2,3.306,3.3,12.749,11.578
15.0,279913.68,-1.6,1.6,2.7,4.2,3.306,3.299,12.748,11.572
16.0,299512.136,-1.6,1.601,2.7,4.2,3.304,3.298,12.745,11.561
17.0,319109.925,-1.6,1.601,2.7,4.2,3.303,3.298,12.744,11.563
18.0,338797.749,-1.6,1.601,2.7,4.2,3.304,3.297,12.744,11.551
19.0,358523.347,-1.6,1.601,2.7,4.2,3.302,3.296,12.741,11.544
20.0,378270.193,-1.6,1.601,2.7,4.2,3.301,3.296,12.74,11.541
21.0,398031.772,-1.6,1.601,2.7,4.2,3.301,3.296,12.74,11.539
22.0,417896.222,-1.6,1.601,2.7,4.2,3.301,3.294,12.737,11.524
23.0,437745.806,-1.6,1.6,2.7,4.2,3.3,3.295,12.737,11.529
24.0,457658.767,-1.6,1.601,2.7,4.2,3.3,3.294,12.739,11.52
25.0,477610.134,-1.6,1.601,2.7,4.2,3.299,3.293,12.738,11.515
26.0,497656.889,-1.6,1.601,2.7,4.2,3.298,3.291,12.733,11.5
27.0,517730.148,-1.6,1.601,2.7,4.2,3.297,3.291,12.732,11.497
28.0,537813.077,-1.6,1.601,2.7,4.2,3.296,3.291,12.731,11.498
29.0,557809.667,-1.6,1.6,2.7,4.2,3.297,3.293,12.733,11.508
30.0,577837.374,-1.6,1.601,2.7,4.2,3.298,3.292,12.732,11.499
31.0,597923.053,-1.6,1.601,2.7,4.2,3.297,3.291,12.731,11.497
32.0,618062.59,-1.6,1.601,2.7,4.2,3.296,3.29,12.731,11.484
33.0,638230.481,-1.6,1.601,2.7,4.2,3.295,3.29,12.727,11.484
34.0,658405.944,-1.6,1.601,2.7,4.2,3.295,3.289,12.728,11.48
35.0,678689.37,-1.6,1.601,2.7,4.2,3.294,3.287,12.725,11.462
36.0,699021.093,-1.6,1.601,2.7,4.2,3.291,3.286,12.721,11.455
37.0,719365.643,-1.6,1.601,2.7,4.2,3.292,3.286,12.721,11.454
38.0,739735.899,-1.6,1.601,2.7,4.2,3.291,3.285,12.72,11.448
39.0,760134.241,-1.6,1.601,2.7,4.2,3.291,3.284,12.718,11.444
40.0,780625.5,-1.6,1.601,2.7,4.2,3.289,3.282,12.714,11.429
41.0,801122.782,-1.6,1.601,2.7,4.2,3.287,3.282,12.712,11.429
42.0,821642.693,-1.6,1.601,2.7,4.2,3.288,3.282,12.711,11.425
43.0,842140.507,-1.6,1.601,2.7,4.2,3.287,3.282,12.711,11.429
44.0,862735.165,-1.6,1.601,2.7,4.2,3.286,3.28,12.708,11.417
45.0,883385.64,-1.6,1.601,2.7,4.2,3.285,3.278,12.706,11.404
46.0,904144.567,-1.6,1.601,2.7,4.2,3.283,3.276,12.7,11.388
47.0,924828.183,-1.6,1.601,2.7,4.2,3.282,3.278,12.699,11.402
48.0,945631.875,-1.6,1.601,2.7,4.2,3.282,3.275,12.698,11.377
49.0,966386.855,-1.6,1.601,2.7,4.2,3.28,3.275,12.692,11.381
50.0,987200.795,-1.6,1.601,2.7,4.2,3.28,3.274,12.691,11.374
51.0,1008040.252,-1.6,1.601,2.7,4.2,3.279,3.273,12.689,11.369
52.0,1023098.974,-1.6,1.601,2.7,4.2,2.765,2.762,10.532,9.398
53.0,1044180.306,-1.6,1.601,2.7,4.2,3.277,3.269,12.688,11.34
54.0,1065210.791,-1.6,1.6,2.7,4.2,3.275,3.27,12.685,11.345
55.0,1086236.842,-1.6,1.601,2.7,4.2,3.275,3.269,12.681,11.341
56.0,1101304.476,-1.6,1.601,2.7,4.2,2.761,2.758,10.521,9.38
57.0,1122525.876,-1.6,1.6,2.7,4.2,3.273,3.266,12.682,11.318
58.0,1143512.193,-1.6,1.601,2.7,4.2,3.273,3.269,12.68,11.345
59.0,1164518.378,-1.6,1.601,2.7,4.2,3.275,3.268,12.677,11.335
60.0,1185717.685,-1.6,1.6,2.7,4.2,3.272,3.266,12.677,11.322
61.0,1206862.242,-1.6,1.601,2.7,4.2,3.271,3.265,12.672,11.318
62.0,1228070.833,-1.6,1.6,2.7,4.2,3.271,3.264,12.668,11.309
63.0,1249316.776,-1.6,1.6,2.7,4.2,3.269,3.263,12.664,11.302
64.0,1270580.887,-1.6,1.601,2.7,4.2,3.269,3.263,12.666,11.299
65.0,1291839.252,-1.6,1.601,2.7,4.2,3.269,3.263,12.665,11.302
66.0,1313058.859,-1.6,1.601,2.7,4.2,3.268,3.263,12.663,11.299
67.0,1334425.835,-1.6,1.601,2.7,4.2,3.267,3.261,12.66,11.283
68.0,1355888.74,-1.6,1.601,2.7,4.2,3.266,3.259,12.656,11.27
69.0,1377518.567,-1.6,1.601,2.7,4.2,3.263,3.255,12.651,11.245
70.0,1399085.316,-1.6,1.601,2.7,4.2,3.262,3.256,12.65,11.258
71.0,1420663.721,-1.6,1.601,2.7,4.2,3.261,3.254,12.645,11.244
72.0,1442303.619,-1.6,1.601,2.7,4.2,3.26,3.254,12.644,11.244
73.0,1463922.972,-1.6,1.601,2.7,4.2,3.259,3.253,12.641,11.24
74.0,1485641.439,-1.6,1.601,2.7,4.2,3.259,3.253,12.638,11.235
75.0,1507366.481,-1.6,1.601,2.7,4.2,3.259,3.251,12.635,11.223
76.0,1528936.387,-1.6,1.601,2.7,4.2,3.258,3.253,12.638,11.242
77.0,1550414.699,-1.6,1.601,2.7,4.201,3.26,3.255,12.639,11.254
78.0,1572000.218,-1.6,1.601,2.7,4.2,3.26,3.253,12.637,11.239
