Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,15382.818,-1.6,1.6,2.7,4.2,1.888,3.229,7.605,11.456
2.0,33593.707,-1.6,1.6,2.7,4.2,3.231,3.204,12.491,11.378
3.0,51605.512,-1.6,1.6,2.7,4.2,3.209,3.183,12.405,11.309
4.0,69494.812,-1.6,1.6,2.7,4.2,3.187,3.172,12.322,11.272
5.0,87259.882,-1.6,1.6,2.7,4.2,3.176,3.163,12.278,11.237
6.0,105021.656,-1.6,1.6,2.7,4.2,3.165,3.158,12.243,11.224
7.0,122720.549,-1.6,1.6,2.7,4.2,3.162,3.154,12.231,11.213
8.0,140423.239,-1.6,1.6,2.7,4.2,3.157,3.156,12.211,11.22
9.0,158166.041,-1.6,1.6,2.7,4.2,3.158,3.162,12.217,11.239
10.0,175880.024,-1.6,1.6,2.7,4.2,3.164,3.148,12.231,11.186
11.0,193521.78,-1.6,1.6,2.7,4.2,3.15,3.13,12.185,11.121
12.0,211165.735,-1.6,1.6,2.7,4.2,3.133,3.134,12.128,11.139
13.0,228787.925,-1.6,1.6,2.7,4.2,3.137,3.132,12.14,11.129
14.0,246430.721,-1.6,1.6,2.7,4.2,3.134,3.124,12.132,11.104
15.0,264099.371,-1.6,1.6,2.698,4.2,3.126,3.118,12.106,11.075
16.0,281768.465,-1.6,1.6,2.7,4.2,3.12,3.123,12.085,11.091
17.0,299397.857,-1.6,1.6,2.7,4.2,3.127,3.126,12.105,11.106
18.0,317034.979,-2.209,1.6,2.666,4.2,3.128,3.122,12.108,11.092
19.0,334658.392,-1.6,1.6,2.7,4.2,3.125,3.12,12.099,11.086
20.0,352297.848,-1.6,1.6,2.7,4.2,3.122,3.129,12.088,11.115
21.0,369930.519,-1.6,1.6,2.7,4.2,3.131,3.117,12.116,11.068
22.0,387571.311,-1.6,1.6,2.7,4.2,3.118,3.118,12.074,11.075
23.0,405207.712,-1.6,1.6,2.7,4.2,3.12,3.117,12.081,11.07
24.0,422844.902,-1.6,1.6,2.7,4.2,3.119,3.117,12.078,11.07
25.0,440507.503,-1.6,1.6,2.7,4.2,3.12,3.105,12.081,11.023
26.0,458173.597,-1.6,1.6,2.7,4.208,3.107,3.118,12.036,11.074
27.0,475845.705,-1.6,1.6,2.7,4.2,3.12,3.115,12.08,11.057
28.0,493490.016,-1.6,1.6,2.7,4.2,3.117,3.108,12.071,11.031
29.0,511140.909,-1.6,1.6,2.7,4.2,3.11,3.106,12.047,11.022
30.0,528808.591,-1.6,1.6,2.7,4.2,3.107,3.104,12.037,11.014
31.0,546498.411,-1.6,1.6,2.7,4.2,3.106,3.111,12.035,11.041
32.0,564159.159,-1.6,1.6,2.7,4.2,3.114,3.103,12.061,11.01
33.0,581864.989,-1.6,1.6,2.7,4.2,3.104,3.107,12.028,11.024
34.0,599520.97,-1.6,1.6,2.7,4.2,3.11,3.094,12.047,10.977
35.0,617184.405,-1.6,1.6,2.7,4.2,3.095,3.095,11.997,10.977
36.0,634904.911,-1.6,1.6,2.7,4.2,3.097,3.098,12.004,10.987
37.0,652617.256,-1.6,1.6,2.7,4.2,3.099,3.1,12.012,10.992
38.0,670332.236,-1.6,1.6,2.7,4.2,3.102,3.096,12.021,10.977
39.0,682705.763,-1.6,1.6,2.7,4.2,2.618,2.613,9.994,9.11
40.0,700496.199,-1.601,1.6,2.696,4.2,3.09,3.091,11.987,10.951
41.0,718305.696,-4.746,1.6,2.551,4.2,3.092,3.093,11.992,10.958
42.0,736093.086,-2.345,1.6,2.659,4.2,3.095,3.091,12.001,10.948
43.0,753894.617,-1.6,1.6,2.7,4.2,3.092,3.089,11.993,10.945
44.0,771615.412,-1.6,1.6,2.7,4.2,3.091,3.078,11.986,10.903
45.0,789412.579,-1.6,1.6,2.7,4.2,3.08,3.081,11.952,10.908
46.0,807220.618,-1.6,1.6,2.7,4.2,3.083,3.082,11.962,10.917
47.0,825059.1,-1.6,1.6,2.7,4.2,3.083,3.079,11.963,10.905
48.0,842879.097,-1.6,1.6,2.7,4.2,3.08,3.077,11.952,10.895
49.0,860648.955,-1.682,1.6,2.692,4.2,3.078,3.066,11.945,10.85
50.0,878480.283,-1.6,1.6,2.7,4.2,3.067,3.067,11.908,10.854
51.0,896325.163,-1.648,1.6,2.694,4.2,3.069,3.072,11.916,10.871
52.0,914206.15,-1.6,1.6,2.7,4.2,3.074,3.074,11.933,10.877
53.0,932093.223,-1.6,1.6,2.7,4.2,3.075,3.073,11.936,10.872
54.0,949984.637,-1.6,1.6,2.7,4.2,3.074,3.068,11.933,10.849
55.0,967889.342,-4.671,1.6,2.551,4.2,3.07,3.063,11.919,10.83
56.0,985803.438,-1.6,1.6,2.7,4.2,3.065,3.067,11.904,10.848
57.0,1003729.531,-1.6,1.6,2.7,4.2,3.07,3.077,11.918,10.879
58.0,1021623.74,-1.6,1.6,2.7,4.2,3.078,3.072,11.947,10.868
59.0,1033808.538,-1.6,1.6,2.7,4.2,2.577,2.57,9.847,8.932
60.0,1051781.339,-1.6,1.6,2.7,4.2,3.064,3.063,11.904,10.824
61.0,1069738.685,-1.6,1.6,2.7,4.2,3.065,3.059,11.904,10.814
62.0,1087694.153,-1.6,1.6,2.7,4.2,3.061,3.056,11.89,10.799
63.0,1105658.76,-1.6,1.6,2.7,4.2,3.057,3.053,11.879,10.786
64.0,1123690.828,-1.6,1.6,2.7,4.2,3.053,3.04,11.866,10.739
65.0,1135680.759,-1.6,1.6,2.7,4.2,2.527,2.533,9.67,8.784
66.0,1153707.14,-1.6,1.6,2.7,4.2,3.048,3.048,11.852,10.764
67.0,1171737.488,-1.6,1.6,2.7,4.2,3.049,3.042,11.855,10.74
68.0,1189793.816,-1.6,1.6,2.7,4.2,3.043,3.037,11.836,10.717
69.0,1207856.765,-1.6,1.6,2.7,4.2,3.039,3.039,11.819,10.724
70.0,1225900.093,-1.6,1.6,2.7,4.2,3.04,3.032,11.825,10.699
71.0,1243964.483,-1.6,1.6,2.7,4.2,3.034,3.036,11.804,10.715
72.0,1262050.119,-1.6,1.601,2.7,4.2,3.038,3.037,11.82,10.718
73.0,1280152.004,-1.6,1.6,2.7,4.2,3.039,3.041,11.82,10.727
74.0,1298269.336,-1.6,1.6,2.7,4.2,3.042,3.035,11.832,10.705
75.0,1316390.923,-1.6,1.6,2.7,4.2,3.036,3.035,11.813,10.702
76.0,1334536.578,-1.6,1.6,2.7,4.2,3.037,3.031,11.814,10.687
77.0,1352683.389,-1.6,1.6,2.7,4.2,3.033,3.031,11.802,10.688
78.0,1370831.254,-1.898,1.6,2.681,4.2,3.032,3.024,11.801,10.663
79.0,1388957.218,-1.6,1.6,2.7,4.2,3.024,3.017,11.772,10.637
80.0,1407180.751,-1.78,1.6,2.686,4.2,3.018,3.021,11.755,10.643
81.0,1425385.626,-1.6,1.6,2.7,4.2,3.023,3.029,11.769,10.678
82.0,1443589.837,-2.53,1.6,2.649,4.2,3.03,3.021,11.796,10.645
83.0,1461739.913,-1.6,1.6,2.7,4.2,3.023,3.014,11.769,10.618
84.0,1479989.601,-1.6,1.6,2.7,4.2,3.014,3.014,11.741,10.612
85.0,1498186.665,-1.6,1.6,2.7,4.2,3.016,3.015,11.75,10.617
86.0,1516417.711,-1.6,1.6,2.7,4.2,3.017,3.013,11.752,10.611
87.0,1534652.735,-1.6,1.6,2.7,4.2,3.015,3.016,11.742,10.623
88.0,1552878.913,-1.6,1.6,2.7,4.2,3.019,3.019,11.755,10.634
89.0,1571171.821,-1.6,1.6,2.7,4.2,3.019,3.007,11.756,10.586
90.0,1582929.625,-1.6,1.6,2.7,4.2,2.479,2.479,9.499,8.568
91.0,1601200.461,-1.6,1.6,2.7,4.2,3.009,3.014,11.724,10.605
92.0,1619496.873,-1.6,1.6,2.7,4.2,3.016,3.012,11.748,10.603
93.0,1631271.656,-1.6,1.6,2.7,4.2,2.484,2.481,9.516,8.574
94.0,1649648.765,-1.6,1.6,2.7,4.2,3.009,3.008,11.728,10.584
95.0,1667934.156,-1.6,1.6,2.7,4.2,3.01,3.007,11.731,10.581
96.0,1686228.026,-1.6,1.6,2.7,4.2,3.008,3.003,11.722,10.568
97.0,1704558.999,-1.728,1.6,2.689,4.2,3.004,3.008,11.709,10.583
