Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,9486.796,-1.6,1.599,2.7,4.254,0.05,3.313,0.206,11.659
2.0,28658.603,-1.6,1.6,2.7,4.2,3.297,3.29,12.711,11.588
3.0,42708.815,-1.6,1.6,2.7,4.2,2.816,2.814,10.689,9.733
4.0,61861.124,-1.6,1.6,2.7,4.201,3.288,3.287,12.682,11.575
5.0,81036.039,-1.6,1.6,2.7,4.2,3.289,3.282,12.679,11.552
6.0,100246.475,-1.6,1.6,2.7,4.2,3.285,3.281,12.663,11.542
7.0,119485.988,-1.6,1.6,2.7,4.2,3.283,3.279,12.658,11.535
8.0,138756.988,-1.6,1.6,2.7,4.2,3.281,3.278,12.653,11.527
9.0,158050.416,-1.6,1.6,2.7,4.2,3.28,3.277,12.65,11.52
10.0,177382.216,-1.6,1.6,2.7,4.2,3.279,3.277,12.648,11.515
11.0,196751.657,-1.6,1.6,2.7,4.2,3.279,3.275,12.647,11.505
12.0,216188.493,-1.6,1.6,2.7,4.2,3.277,3.274,12.643,11.494
13.0,235630.289,-1.6,1.623,2.7,4.201,3.277,3.275,12.643,11.498
14.0,250003.683,-1.6,1.6,2.7,4.2,2.808,2.805,10.674,9.67
15.0,269506.7,-1.6,1.6,2.7,4.2,3.277,3.274,12.646,11.488
16.0,289056.538,-1.6,1.6,2.7,4.201,3.277,3.273,12.643,11.481
17.0,308631.827,-1.6,1.6,2.7,4.2,3.275,3.272,12.639,11.476
18.0,323052.192,-1.6,1.6,2.7,4.2,2.797,2.8,10.633,9.638
19.0,342698.257,-1.601,1.6,2.7,4.2,3.276,3.272,12.645,11.468
20.0,362399.835,-1.6,1.6,2.7,4.201,3.274,3.271,12.638,11.461
21.0,382114.914,-1.601,1.6,2.7,4.2,3.273,3.27,12.637,11.454
22.0,396620.076,-1.6,1.6,2.7,4.2,2.791,2.792,10.613,9.596
23.0,416402.324,-1.6,1.6,2.7,4.2,3.273,3.27,12.641,11.449
24.0,436173.232,-1.6,1.6,2.7,4.2,3.272,3.269,12.637,11.446
25.0,456018.408,-1.6,1.6,2.7,4.2,3.271,3.267,12.633,11.43
26.0,475965.004,-1.6,1.6,2.7,4.2,3.27,3.267,12.633,11.429
27.0,495989.117,-1.6,1.6,2.7,4.2,3.269,3.266,12.629,11.418
28.0,516031.42,-1.6,1.6,2.7,4.2,3.268,3.265,12.627,11.41
29.0,536137.446,-1.6,1.6,2.7,4.2,3.266,3.264,12.625,11.401
30.0,556281.185,-1.601,1.6,2.7,4.2,3.266,3.263,12.624,11.398
31.0,576417.215,-1.6,1.6,2.7,4.2,3.265,3.263,12.622,11.395
32.0,596462.094,-1.6,1.6,2.7,4.2,3.266,3.266,12.625,11.412
33.0,616548.28,-1.6,1.6,2.7,4.2,3.267,3.264,12.625,11.403
34.0,636629.932,-1.6,1.6,2.7,4.2,3.266,3.264,12.623,11.399
35.0,656821.006,-1.6,1.6,2.7,4.2,3.265,3.263,12.621,11.387
36.0,676979.597,-1.6,1.6,2.7,4.2,3.265,3.263,12.62,11.391
37.0,697159.708,-1.6,1.6,2.7,4.2,3.265,3.262,12.621,11.385
38.0,717463.0,-1.6,1.6,2.7,4.2,3.264,3.26,12.615,11.366
39.0,737795.508,-1.6,1.6,2.7,4.2,3.261,3.259,12.615,11.363
40.0,758132.815,-1.6,1.6,2.7,4.2,3.262,3.259,12.614,11.36
41.0,778487.844,-1.6,1.6,2.7,4.2,3.261,3.258,12.612,11.356
42.0,798867.925,-1.6,1.6,2.7,4.2,3.26,3.257,12.607,11.347
43.0,819356.786,-1.6,1.6,2.7,4.2,3.258,3.255,12.605,11.335
44.0,839824.523,-1.6,1.6,2.7,4.2,3.258,3.256,12.604,11.338
45.0,854590.943,-1.6,1.6,2.7,4.2,2.757,2.758,10.5,9.417
46.0,875015.551,-1.6,1.6,2.7,4.2,3.258,3.256,12.606,11.339
47.0,895546.003,-1.6,1.6,2.7,4.2,3.257,3.253,12.601,11.323
48.0,916156.346,-1.6,1.6,2.7,4.2,3.256,3.252,12.599,11.315
49.0,936825.624,-1.6,1.6,2.7,4.2,3.254,3.25,12.595,11.299
50.0,957343.646,-1.6,1.6,2.7,4.201,3.253,3.252,12.595,11.312
51.0,978078.66,-1.6,1.6,2.7,4.201,3.254,3.249,12.593,11.293
52.0,998809.091,-1.6,1.6,2.7,4.201,3.251,3.249,12.591,11.293
53.0,1019576.738,-1.6,1.6,2.7,4.2,3.251,3.248,12.588,11.283
54.0,1040386.585,-1.6,1.6,2.7,4.2,3.25,3.247,12.585,11.277
55.0,1061344.1,-1.6,1.6,2.7,4.2,3.248,3.243,12.579,11.251
56.0,1082353.595,-1.6,1.6,2.7,4.2,3.245,3.242,12.573,11.245
57.0,1103307.398,-1.6,1.6,2.7,4.2,3.244,3.243,12.574,11.253
58.0,1124247.061,-1.6,1.6,2.7,4.2,3.245,3.243,12.575,11.252
59.0,1145300.399,-1.6,1.6,2.7,4.2,3.244,3.241,12.569,11.232
60.0,1166384.442,-1.6,1.6,2.7,4.2,3.243,3.241,12.57,11.238
61.0,1187201.364,-1.6,1.6,2.7,4.2,3.245,3.244,12.572,11.258
62.0,1208197.452,-1.601,1.6,2.7,4.201,3.245,3.241,12.572,11.231
63.0,1229145.4,-1.601,1.6,2.7,4.2,3.242,3.241,12.565,11.233
64.0,1250143.653,-1.6,1.6,2.7,4.201,3.243,3.24,12.566,11.23
65.0,1271275.697,-1.6,1.6,2.7,4.2,3.241,3.238,12.563,11.22
66.0,1286223.34,-1.6,1.6,2.7,4.2,2.724,2.721,10.391,9.239
67.0,1307292.011,-1.6,1.6,2.7,4.201,3.24,3.238,12.559,11.217
68.0,1328374.031,-1.6,1.6,2.7,4.201,3.242,3.238,12.562,11.217
