Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,19702.687,-1.603,1.597,2.697,4.2,1.907,3.362,7.693,11.767
2.0,42676.113,-1.603,1.597,2.697,4.2,3.403,3.355,13.146,11.746
3.0,65714.591,-1.603,1.597,2.697,4.2,3.394,3.347,13.102,11.702
4.0,88778.496,-1.603,1.597,2.697,4.2,3.386,3.349,13.085,11.711
5.0,111686.961,-1.603,1.598,2.697,4.2,3.388,3.349,13.083,11.714
6.0,134613.877,-1.603,1.597,2.697,4.2,3.388,3.349,13.078,11.714
7.0,157806.878,-1.603,1.597,2.697,4.2,3.387,3.345,13.076,11.687
8.0,181077.7,-1.603,1.597,2.697,4.2,3.385,3.345,13.074,11.682
9.0,204230.494,-1.603,1.597,2.697,4.2,3.384,3.347,13.071,11.693
10.0,227350.78,-1.603,1.597,2.697,4.2,3.384,3.347,13.068,11.692
11.0,250580.476,-1.603,1.597,2.697,4.2,3.383,3.343,13.064,11.663
12.0,273810.924,-1.603,1.598,2.697,4.2,3.382,3.344,13.066,11.673
13.0,297059.899,-1.603,1.597,2.697,4.2,3.383,3.342,13.061,11.658
14.0,320388.756,-1.603,1.597,2.697,4.2,3.381,3.342,13.06,11.66
15.0,343853.488,-1.603,1.597,2.697,4.2,3.38,3.34,13.059,11.644
16.0,367285.874,-1.603,1.598,2.697,4.2,3.378,3.338,13.049,11.636
17.0,390733.751,-1.603,1.597,2.697,4.2,3.377,3.338,13.051,11.639
18.0,414650.126,-1.604,1.597,2.697,4.2,3.377,3.332,13.049,11.591
19.0,438520.364,-1.603,1.597,2.697,4.2,3.371,3.332,13.041,11.595
20.0,462263.994,-1.603,1.597,2.697,4.2,3.372,3.333,13.043,11.604
21.0,485979.258,-1.603,1.597,2.697,4.2,3.372,3.333,13.04,11.605
22.0,508350.238,-1.603,1.597,2.697,4.2,3.37,3.33,13.031,11.583
23.0,529420.734,-1.603,1.597,2.697,4.2,3.369,3.326,13.032,11.562
24.0,550271.21,-1.603,1.597,2.697,4.2,3.368,3.327,13.024,11.574
25.0,571144.307,-1.603,1.598,2.697,4.2,3.368,3.326,13.025,11.569
26.0,592310.053,-1.603,1.597,2.697,4.2,3.366,3.32,13.016,11.533
27.0,613536.653,-1.603,1.597,2.697,4.2,3.363,3.32,13.015,11.532
28.0,634598.582,-1.603,1.597,2.697,4.2,3.361,3.322,13.011,11.543
29.0,655739.585,-1.603,1.597,2.697,4.2,3.363,3.32,13.011,11.532
30.0,677060.13,-1.603,1.597,2.697,4.2,3.358,3.312,12.995,11.476
31.0,698416.961,-1.603,1.597,2.697,4.2,3.355,3.315,12.992,11.496
32.0,719651.231,-1.603,1.597,2.697,4.2,3.357,3.316,12.996,11.506
33.0,740813.749,-1.603,1.597,2.697,4.2,3.356,3.315,12.993,11.505
34.0,762387.56,-1.603,1.597,2.697,4.2,3.356,3.308,12.991,11.452
35.0,783869.458,-1.603,1.597,2.697,4.2,3.349,3.31,12.977,11.471
36.0,805268.852,-1.603,1.597,2.697,4.2,3.351,3.311,12.983,11.478
37.0,826673.629,-1.603,1.597,2.697,4.2,3.351,3.311,12.983,11.478
38.0,848527.715,-1.603,1.597,2.697,4.2,3.35,3.303,12.975,11.423
39.0,870200.769,-1.603,1.597,2.697,4.2,3.344,3.304,12.966,11.43
40.0,891762.755,-1.603,1.597,2.697,4.2,3.346,3.305,12.969,11.444
41.0,913350.435,-1.603,1.597,2.697,4.2,3.346,3.304,12.969,11.44
42.0,935247.16,-1.603,1.597,2.697,4.2,3.346,3.296,12.97,11.389
43.0,957163.177,-1.603,1.597,2.697,4.2,3.339,3.297,12.958,11.4
44.0,978735.362,-1.603,1.597,2.697,4.2,3.346,3.302,12.977,11.432
45.0,1000278.029,-1.603,1.598,2.697,4.2,3.349,3.303,12.977,11.437
46.0,1022137.313,-1.603,1.597,2.697,4.2,3.347,3.293,12.967,11.379
47.0,1043955.078,-1.603,1.597,2.697,4.2,3.337,3.294,12.954,11.385
48.0,1065789.972,-1.603,1.597,2.697,4.2,3.341,3.294,12.959,11.386
49.0,1087453.776,-1.603,1.597,2.697,4.2,3.34,3.297,12.952,11.401
50.0,1109277.5,-1.603,1.597,2.697,4.2,3.341,3.293,12.953,11.376
51.0,1131288.205,-1.603,1.598,2.697,4.2,3.338,3.291,12.953,11.36
52.0,1153189.419,-1.603,1.597,2.697,4.2,3.337,3.29,12.948,11.363
53.0,1174946.873,-1.603,1.597,2.697,4.2,3.335,3.292,12.938,11.374
54.0,1197012.175,-1.603,1.597,2.697,4.2,3.336,3.283,12.935,11.319
