Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,9319.544,-1.6,1.6,2.7,4.263,0.05,3.366,0.187,11.831
2.0,28490.712,-1.6,1.6,2.7,4.2,3.356,3.346,12.926,11.774
3.0,47683.697,-1.6,1.6,2.7,4.2,3.349,3.342,12.891,11.755
4.0,66918.387,-1.6,1.6,2.7,4.2,3.344,3.34,12.875,11.746
5.0,86156.998,-1.6,1.6,2.7,4.2,3.343,3.339,12.871,11.74
6.0,105435.528,-1.6,1.6,2.7,4.2,3.341,3.338,12.866,11.731
7.0,124738.287,-1.6,1.6,2.7,4.2,3.34,3.337,12.864,11.725
8.0,144069.36,-1.6,1.6,2.7,4.2,3.34,3.336,12.864,11.719
9.0,163410.974,-1.6,1.6,2.7,4.2,3.339,3.336,12.859,11.713
10.0,182827.486,-1.6,1.6,2.7,4.2,3.338,3.335,12.86,11.706
11.0,202249.006,-1.6,1.6,2.7,4.2,3.338,3.335,12.86,11.706
12.0,221706.228,-1.6,1.6,2.7,4.2,3.337,3.334,12.857,11.695
13.0,241180.641,-1.6,1.6,2.7,4.2,3.336,3.334,12.857,11.697
14.0,260685.404,-1.6,1.6,2.7,4.2,3.336,3.333,12.853,11.687
15.0,280231.327,-1.6,1.6,2.7,4.2,3.335,3.332,12.853,11.681
16.0,299836.344,-1.6,1.6,2.7,4.2,3.334,3.331,12.852,11.672
17.0,319442.391,-1.6,1.6,2.7,4.2,3.334,3.331,12.853,11.673
18.0,339101.518,-1.6,1.6,2.7,4.2,3.333,3.329,12.849,11.66
19.0,358806.029,-1.6,1.6,2.7,4.2,3.332,3.328,12.848,11.651
20.0,378540.117,-1.6,1.6,2.7,4.2,3.331,3.328,12.846,11.648
21.0,398272.792,-1.6,1.6,2.7,4.2,3.33,3.327,12.844,11.645
22.0,418084.574,-1.6,1.6,2.7,4.2,3.329,3.326,12.839,11.629
23.0,437865.628,-1.6,1.6,2.7,4.2,3.328,3.326,12.84,11.635
24.0,457679.858,-1.6,1.6,2.7,4.2,3.328,3.325,12.839,11.626
25.0,472079.077,-1.6,1.6,2.7,4.2,2.831,2.832,10.755,9.717
26.0,486468.787,-1.6,1.6,2.7,4.2,2.825,2.825,10.729,9.687
27.0,506448.591,-1.6,1.6,2.7,4.2,3.325,3.322,12.838,11.603
28.0,526435.49,-1.6,1.6,2.7,4.2,3.324,3.321,12.835,11.598
29.0,546411.927,-1.6,1.6,2.7,4.2,3.323,3.32,12.831,11.595
30.0,566412.341,-1.6,1.6,2.7,4.2,3.324,3.321,12.832,11.597
31.0,586414.175,-1.6,1.6,2.7,4.2,3.322,3.32,12.829,11.59
32.0,606434.132,-1.6,1.6,2.7,4.2,3.322,3.319,12.826,11.581
33.0,626597.982,-1.6,1.6,2.7,4.2,3.32,3.317,12.822,11.569
34.0,646711.65,-1.6,1.6,2.7,4.2,3.319,3.317,12.822,11.569
35.0,666848.607,-1.6,1.6,2.7,4.2,3.319,3.316,12.819,11.563
36.0,687126.591,-1.6,1.6,2.7,4.2,3.317,3.313,12.814,11.538
37.0,707408.801,-1.6,1.6,2.7,4.2,3.315,3.313,12.813,11.539
38.0,727724.484,-1.6,1.6,2.7,4.2,3.314,3.312,12.81,11.532
39.0,748054.596,-1.6,1.6,2.7,4.2,3.313,3.311,12.808,11.529
40.0,768435.272,-1.6,1.6,2.7,4.2,3.313,3.309,12.804,11.517
41.0,788893.221,-1.6,1.6,2.7,4.2,3.311,3.308,12.801,11.504
42.0,809361.656,-1.6,1.6,2.7,4.2,3.31,3.307,12.801,11.503
43.0,829859.849,-1.6,1.6,2.7,4.2,3.309,3.306,12.799,11.495
44.0,850414.917,-1.6,1.6,2.7,4.2,3.309,3.304,12.795,11.483
45.0,870951.717,-1.6,1.6,2.7,4.2,3.306,3.304,12.79,11.48
46.0,891605.738,-1.6,1.6,2.7,4.2,3.305,3.302,12.786,11.466
47.0,912273.769,-1.6,1.6,2.7,4.2,3.303,3.3,12.784,11.459
48.0,932894.062,-1.6,1.6,2.7,4.2,3.304,3.3,12.783,11.457
49.0,953644.145,-1.6,1.6,2.7,4.2,3.302,3.299,12.78,11.451
50.0,974400.428,-1.6,1.6,2.7,4.2,3.301,3.298,12.776,11.441
51.0,988870.997,-1.6,1.6,2.7,4.2,2.767,2.767,10.536,9.409
52.0,1009754.661,-1.6,1.6,2.7,4.2,3.298,3.296,12.771,11.429
53.0,1030795.174,-1.6,1.6,2.7,4.2,3.297,3.292,12.766,11.402
54.0,1051887.433,-1.6,1.601,2.7,4.2,3.294,3.291,12.764,11.394
55.0,1072948.619,-1.6,1.6,2.7,4.2,3.294,3.291,12.762,11.397
56.0,1094025.157,-1.6,1.6,2.7,4.2,3.293,3.291,12.76,11.395
57.0,1115366.97,-1.6,1.6,2.7,4.2,3.292,3.287,12.755,11.369
58.0,1136541.31,-1.6,1.6,2.7,4.2,3.289,3.288,12.754,11.38
59.0,1157650.757,-1.601,1.6,2.7,4.2,3.292,3.289,12.751,11.384
60.0,1178937.494,-1.6,1.6,2.7,4.2,3.289,3.286,12.743,11.363
61.0,1200236.843,-1.6,1.6,2.7,4.2,3.288,3.285,12.743,11.36
62.0,1221519.382,-1.6,1.6,2.7,4.2,3.287,3.284,12.74,11.354
63.0,1242892.712,-1.6,1.6,2.7,4.2,3.286,3.282,12.738,11.339
