Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,8851.63,-1.6,1.6,2.7,4.191,0.011,3.332,0.023,11.7
2.0,28147.425,-1.6,1.6,2.7,4.2,3.339,3.32,12.882,11.677
3.0,47444.14,-1.6,1.601,2.7,4.2,3.325,3.318,12.821,11.665
4.0,66777.571,-1.6,1.601,2.7,4.2,3.323,3.318,12.81,11.661
5.0,80950.769,-1.6,1.601,2.7,4.2,2.843,2.843,10.798,9.819
6.0,100376.462,-1.6,1.601,2.7,4.2,3.323,3.317,12.813,11.65
7.0,119812.159,-1.6,1.601,2.7,4.2,3.322,3.317,12.812,11.648
8.0,139283.159,-1.6,1.601,2.7,4.2,3.321,3.316,12.811,11.643
9.0,158771.759,-1.6,1.601,2.7,4.2,3.322,3.316,12.813,11.64
10.0,178318.627,-1.6,1.6,2.7,4.2,3.32,3.316,12.809,11.631
11.0,197881.17,-1.6,1.601,2.7,4.2,3.321,3.317,12.812,11.634
12.0,217498.421,-1.6,1.601,2.7,4.2,3.321,3.315,12.812,11.622
13.0,237098.652,-1.6,1.601,2.7,4.2,3.319,3.316,12.81,11.626
14.0,256753.682,-1.6,1.602,2.7,4.2,3.32,3.314,12.811,11.614
15.0,276475.362,-1.6,1.601,2.7,4.2,3.319,3.314,12.809,11.609
16.0,296250.655,-1.6,1.601,2.7,4.2,3.318,3.313,12.808,11.6
17.0,315993.458,-1.6,1.601,2.7,4.2,3.317,3.314,12.807,11.603
18.0,335806.417,-1.6,1.601,2.7,4.2,3.318,3.312,12.806,11.591
19.0,355679.271,-1.6,1.601,2.7,4.2,3.317,3.311,12.806,11.583
20.0,375591.807,-1.6,1.601,2.7,4.2,3.315,3.311,12.804,11.577
21.0,395478.001,-1.6,1.601,2.7,4.2,3.315,3.311,12.802,11.577
22.0,409972.827,-1.6,1.601,2.7,4.2,2.816,2.815,10.706,9.654
23.0,429943.694,-1.6,1.601,2.7,4.2,3.314,3.309,12.804,11.565
24.0,449929.016,-1.6,1.601,2.7,4.2,3.314,3.309,12.801,11.562
25.0,469959.749,-1.6,1.601,2.7,4.2,3.313,3.308,12.799,11.554
26.0,490051.241,-1.6,1.601,2.7,4.2,3.312,3.306,12.797,11.542
27.0,510204.318,-1.6,1.601,2.7,4.2,3.31,3.305,12.796,11.535
28.0,530380.168,-1.6,1.601,2.7,4.2,3.309,3.306,12.793,11.532
29.0,550560.265,-1.6,1.601,2.7,4.2,3.31,3.305,12.795,11.532
30.0,570716.823,-1.6,1.601,2.7,4.2,3.31,3.305,12.793,11.532
31.0,590874.423,-1.6,1.601,2.7,4.2,3.309,3.304,12.789,11.523
32.0,611105.479,-1.6,1.601,2.7,4.2,3.308,3.303,12.787,11.517
33.0,631413.703,-1.6,1.601,2.7,4.2,3.308,3.303,12.79,11.51
34.0,651707.702,-1.6,1.601,2.7,4.2,3.307,3.302,12.785,11.506
35.0,672075.885,-1.6,1.601,2.7,4.2,3.306,3.301,12.784,11.498
36.0,692571.028,-1.6,1.601,2.7,4.2,3.304,3.298,12.781,11.475
37.0,713047.066,-1.6,1.601,2.7,4.2,3.302,3.298,12.777,11.479
38.0,733564.79,-1.6,1.601,2.7,4.2,3.302,3.297,12.778,11.471
39.0,754116.14,-1.6,1.601,2.7,4.2,3.302,3.297,12.776,11.472
40.0,774709.065,-1.6,1.601,2.7,4.2,3.301,3.294,12.773,11.454
41.0,795356.454,-1.6,1.601,2.7,4.2,3.298,3.294,12.769,11.447
42.0,816004.185,-1.6,1.601,2.7,4.2,3.298,3.293,12.767,11.443
43.0,836662.403,-1.6,1.601,2.7,4.2,3.297,3.294,12.765,11.447
44.0,857341.718,-1.6,1.601,2.7,4.2,3.297,3.292,12.762,11.433
45.0,878100.731,-1.6,1.601,2.7,4.2,3.296,3.29,12.759,11.426
46.0,898976.25,-1.6,1.601,2.7,4.2,3.294,3.288,12.757,11.407
47.0,919796.294,-1.6,1.601,2.7,4.2,3.293,3.289,12.758,11.417
48.0,934386.978,-1.6,1.601,2.7,4.2,2.761,2.759,10.518,9.385
49.0,955314.778,-1.6,1.601,2.7,4.2,3.291,3.287,12.752,11.402
50.0,976271.719,-1.6,1.601,2.7,4.2,3.291,3.286,12.75,11.391
51.0,997292.902,-1.6,1.601,2.7,4.2,3.289,3.284,12.746,11.381
52.0,1018433.041,-1.6,1.601,2.7,4.2,3.288,3.282,12.743,11.365
53.0,1039686.737,-1.6,1.601,2.7,4.2,3.285,3.28,12.739,11.351
54.0,1060971.788,-1.6,1.601,2.7,4.2,3.284,3.28,12.739,11.351
55.0,1082195.551,-1.6,1.601,2.7,4.2,3.284,3.279,12.734,11.345
56.0,1103522.975,-1.6,1.601,2.7,4.2,3.283,3.277,12.731,11.331
57.0,1124891.86,-1.6,1.601,2.7,4.2,3.28,3.275,12.726,11.321
58.0,1146108.77,-1.6,1.601,2.7,4.2,3.281,3.278,12.73,11.346
59.0,1167474.176,-1.6,1.601,2.7,4.2,3.282,3.276,12.726,11.329
60.0,1188895.34,-1.6,1.601,2.7,4.2,3.279,3.274,12.724,11.313
61.0,1210277.554,-1.6,1.601,2.7,4.2,3.278,3.274,12.719,11.314
62.0,1231737.37,-1.6,1.601,2.7,4.2,3.278,3.272,12.716,11.302
63.0,1253328.605,-1.6,1.601,2.7,4.2,3.277,3.271,12.717,11.294
64.0,1274859.93,-1.6,1.601,2.7,4.2,3.276,3.271,12.713,11.296
65.0,1296425.918,-1.6,1.601,2.7,4.2,3.275,3.27,12.708,11.286
66.0,1317991.731,-1.6,1.601,2.7,4.2,3.274,3.268,12.705,11.279
67.0,1339763.392,-1.6,1.601,2.7,4.2,3.272,3.266,12.703,11.262
68.0,1361629.459,-1.6,1.601,2.7,4.2,3.271,3.265,12.704,11.253
69.0,1383639.422,-1.6,1.601,2.7,4.2,3.268,3.263,12.701,11.231
70.0,1405589.036,-1.6,1.601,2.7,4.2,3.267,3.262,12.695,11.233
71.0,1427591.474,-1.6,1.601,2.7,4.2,3.266,3.26,12.692,11.219
72.0,1449643.508,-1.6,1.601,2.7,4.2,3.265,3.26,12.69,11.22
73.0,1471704.344,-1.6,1.601,2.7,4.2,3.264,3.259,12.686,11.208
74.0,1493920.114,-1.6,1.601,2.7,4.2,3.264,3.259,12.691,11.216
75.0,1516191.542,-1.6,1.601,2.7,4.2,3.262,3.257,12.685,11.193
76.0,1538160.682,-1.6,1.601,2.7,4.2,3.262,3.259,12.679,11.213
77.0,1560159.108,-1.6,1.601,2.7,4.2,3.265,3.26,12.681,11.215
78.0,1582316.86,-1.6,1.601,2.7,4.2,3.263,3.258,12.68,11.202
79.0,1597105.051,-1.6,1.601,2.7,4.2,2.691,2.689,10.279,9.054
80.0,1611878.362,-1.6,1.601,2.7,4.2,2.684,2.683,10.254,9.029
81.0,1634418.849,-1.6,1.601,2.7,4.2,3.261,3.254,12.675,11.169
82.0,1657063.406,-1.6,1.601,2.7,4.2,3.259,3.251,12.671,11.156
83.0,1679927.962,-1.6,1.601,2.7,4.2,3.254,3.248,12.659,11.132
84.0,1702961.868,-1.6,1.601,2.7,4.2,3.252,3.245,12.656,11.124
85.0,1726107.441,-1.6,1.601,2.7,4.2,3.249,3.241,12.647,11.097
86.0,1749338.155,-1.6,1.601,2.7,4.2,3.245,3.237,12.637,11.08
87.0,1772607.366,-1.6,1.601,2.7,4.2,3.241,3.233,12.623,11.061
88.0,1796021.254,-1.6,1.601,2.7,4.2,3.238,3.231,12.616,11.049
89.0,1819489.726,-1.6,1.601,2.7,4.2,3.233,3.226,12.603,11.022
90.0,1841805.343,-1.6,1.601,2.7,4.2,3.215,3.209,12.525,10.968
91.0,1865182.864,-1.6,1.602,2.7,4.2,3.227,3.219,12.579,10.999
92.0,1888622.757,-1.6,1.601,2.7,4.2,3.223,3.216,12.568,10.987
93.0,1912100.615,-1.6,1.601,2.7,4.2,3.221,3.212,12.558,10.97
94.0,1935481.284,-1.6,1.601,2.7,4.2,3.216,3.208,12.54,10.95
95.0,1958989.945,-1.6,1.601,2.7,4.2,3.213,3.206,12.531,10.942
96.0,1974044.429,-1.6,1.601,2.7,4.2,2.608,2.611,9.994,8.724
