Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,20859.928,-1.601,1.599,2.699,4.2,1.934,3.3,7.815,11.534
2.0,44969.34,-1.601,1.599,2.699,4.2,3.432,3.283,13.291,11.485
3.0,69324.815,-1.601,1.599,2.699,4.2,3.419,3.264,13.228,11.398
4.0,93646.572,-1.601,1.599,2.699,4.2,3.401,3.266,13.172,11.412
5.0,117717.986,-1.601,1.599,2.699,4.2,3.401,3.266,13.163,11.42
6.0,141681.597,-1.601,1.599,2.699,4.2,3.4,3.265,13.155,11.419
7.0,166142.446,-1.601,1.6,2.699,4.2,3.398,3.257,13.154,11.37
8.0,190558.768,-1.601,1.599,2.699,4.2,3.394,3.258,13.144,11.371
9.0,214687.041,-1.601,1.599,2.699,4.2,3.392,3.26,13.13,11.386
10.0,239125.804,-1.601,1.599,2.699,4.2,3.396,3.257,13.14,11.37
11.0,263705.563,-1.601,1.604,2.699,4.2,3.392,3.256,13.137,11.357
12.0,288051.783,-1.601,1.599,2.699,4.2,3.39,3.259,13.127,11.377
13.0,312487.119,-1.601,1.599,2.699,4.2,3.392,3.259,13.135,11.37
14.0,337241.54,-1.601,1.599,2.699,4.2,3.392,3.251,13.132,11.328
15.0,362079.138,-1.601,1.599,2.699,4.2,3.386,3.249,13.117,11.314
16.0,386749.478,-1.601,1.599,2.699,4.2,3.385,3.252,13.114,11.332
17.0,411741.619,-1.601,1.599,2.699,4.2,3.387,3.24,13.119,11.28
18.0,436897.523,-1.601,1.599,2.699,4.2,3.378,3.24,13.105,11.268
19.0,461941.388,-1.601,1.599,2.699,4.2,3.378,3.244,13.105,11.285
20.0,486916.555,-1.601,1.599,2.699,4.2,3.382,3.246,13.112,11.296
21.0,510674.304,-1.601,1.599,2.699,4.2,3.383,3.239,13.113,11.26
22.0,532896.871,-1.601,1.599,2.699,4.2,3.375,3.239,13.092,11.256
23.0,555089.993,-1.601,1.599,2.699,4.2,3.377,3.238,13.092,11.258
24.0,577226.101,-1.601,1.599,2.699,4.2,3.376,3.238,13.089,11.259
25.0,599772.467,-1.601,1.599,2.699,4.2,3.375,3.231,13.092,11.218
26.0,622225.503,-1.601,1.599,2.699,4.2,3.368,3.232,13.072,11.217
27.0,644795.64,-1.601,1.599,2.699,4.2,3.371,3.232,13.081,11.222
28.0,667366.235,-1.601,1.599,2.699,4.2,3.369,3.225,13.075,11.198
29.0,690246.733,-1.601,1.599,2.699,4.2,3.361,3.22,13.063,11.162
30.0,712965.25,-1.601,1.599,2.699,4.2,3.36,3.225,13.054,11.187
31.0,735534.894,-1.601,1.599,2.699,4.2,3.363,3.229,13.061,11.202
32.0,758328.478,-1.602,1.599,2.699,4.2,3.365,3.215,13.063,11.152
33.0,781219.398,-1.601,1.599,2.699,4.2,3.352,3.216,13.033,11.137
34.0,804021.378,-1.601,1.599,2.699,4.2,3.356,3.219,13.043,11.155
35.0,826678.031,-1.601,1.599,2.699,4.2,3.357,3.221,13.043,11.164
36.0,849740.606,-1.601,1.599,2.699,4.2,3.36,3.209,13.047,11.103
37.0,872798.044,-1.601,1.599,2.699,4.2,3.35,3.21,13.024,11.104
38.0,895683.088,-1.601,1.599,2.699,4.2,3.35,3.213,13.026,11.121
39.0,918707.244,-1.601,1.599,2.699,4.2,3.353,3.213,13.032,11.119
40.0,942102.869,-1.601,1.599,2.699,4.2,3.352,3.204,13.028,11.069
41.0,965180.788,-1.601,1.599,2.699,4.2,3.344,3.214,13.01,11.117
42.0,988040.87,-1.601,1.599,2.699,4.2,3.35,3.221,13.018,11.151
43.0,1011014.208,-1.601,1.599,2.699,4.2,3.354,3.219,13.032,11.147
44.0,1034481.685,-1.601,1.599,2.699,4.2,3.354,3.204,13.04,11.068
45.0,1057850.438,-1.601,1.599,2.699,4.2,3.344,3.209,13.012,11.089
46.0,1080908.276,-1.601,1.599,2.699,4.2,3.349,3.212,13.025,11.105
47.0,1104117.405,-1.601,1.599,2.699,4.2,3.349,3.207,13.018,11.083
