Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,13306.605,-1.134,1.132,2.9,4.0,1.274,2.385,4.844,8.207
2.0,35235.996,-1.134,1.133,2.9,4.0,2.71,2.712,10.135,9.455
3.0,57124.455,-1.134,1.133,2.9,4.0,2.708,2.711,10.129,9.45
4.0,79014.974,-1.134,1.132,2.9,4.0,2.707,2.71,10.128,9.446
5.0,100889.867,-1.134,1.133,2.9,4.0,2.708,2.711,10.128,9.454
6.0,122590.865,-1.134,1.133,2.9,4.0,2.708,2.712,10.123,9.46
7.0,144353.586,-1.134,1.132,2.9,4.0,2.709,2.712,10.128,9.461
8.0,166054.659,-1.134,1.133,2.9,4.0,2.708,2.711,10.125,9.456
9.0,187840.003,-1.134,1.133,2.9,4.0,2.707,2.711,10.125,9.453
10.0,209623.486,-1.134,1.133,2.9,4.0,2.707,2.709,10.122,9.446
11.0,231376.787,-1.134,1.133,2.9,4.0,2.706,2.709,10.121,9.448
12.0,253143.627,-1.134,1.133,2.9,4.0,2.706,2.708,10.119,9.448
13.0,274954.189,-1.134,1.133,2.9,4.0,2.704,2.707,10.113,9.44
14.0,296784.938,-1.134,1.133,2.9,4.0,2.704,2.707,10.112,9.439
15.0,318567.677,-1.134,1.133,2.9,4.0,2.703,2.706,10.109,9.438
16.0,340358.11,-1.134,1.133,2.9,4.0,2.703,2.705,10.109,9.435
17.0,362206.562,-1.134,1.133,2.9,4.0,2.702,2.705,10.106,9.43
18.0,384149.288,-1.134,1.133,2.9,4.0,2.702,2.703,10.106,9.417
19.0,405994.648,-1.134,1.133,2.9,4.0,2.698,2.703,10.101,9.42
20.0,427836.022,-1.134,1.133,2.9,4.0,2.7,2.702,10.101,9.416
21.0,449674.038,-1.134,1.132,2.9,4.0,2.699,2.702,10.097,9.416
22.0,471387.101,-1.134,1.133,2.9,4.0,2.7,2.704,10.099,9.43
23.0,493117.387,-1.134,1.133,2.9,4.0,2.7,2.703,10.098,9.425
24.0,514885.156,-1.134,1.133,2.9,4.0,2.699,2.702,10.096,9.422
25.0,536600.164,-1.134,1.133,2.9,4.0,2.699,2.702,10.094,9.422
26.0,558334.566,-1.134,1.133,2.9,4.0,2.699,2.702,10.093,9.421
27.0,580089.804,-1.134,1.133,2.9,4.0,2.698,2.701,10.091,9.417
28.0,601836.108,-1.134,1.133,2.9,4.0,2.698,2.701,10.09,9.417
29.0,623553.162,-1.134,1.133,2.9,4.0,2.697,2.701,10.088,9.416
30.0,645153.771,-1.134,1.133,2.9,4.0,2.698,2.703,10.09,9.432
