Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,7563.364,-1.6,1.599,2.898,4.095,0.001,3.091,0.003,11.024
2.0,22726.946,-1.6,1.599,2.9,4.0,2.539,2.522,9.625,8.829
3.0,37828.656,-1.6,1.599,2.9,4.0,2.519,2.525,9.551,8.839
4.0,52937.836,-1.6,1.599,2.9,4.0,2.523,2.527,9.563,8.843
5.0,68042.265,-1.6,1.599,2.9,4.0,2.526,2.526,9.569,8.841
6.0,83150.526,-1.6,1.599,2.9,4.0,2.525,2.523,9.565,8.832
7.0,98227.277,-1.6,1.599,2.9,4.0,2.522,2.52,9.555,8.818
8.0,113306.07,-1.6,1.599,2.9,4.0,2.519,2.515,9.544,8.801
9.0,128396.355,-1.6,1.599,2.9,4.0,2.515,2.519,9.53,8.815
10.0,143467.925,-1.6,1.599,2.9,4.0,2.518,2.518,9.54,8.811
11.0,158538.892,-1.6,1.599,2.9,4.0,2.518,2.52,9.54,8.817
12.0,173612.787,-1.6,1.599,2.9,4.0,2.52,2.509,9.547,8.784
13.0,188673.478,-1.6,1.599,2.9,4.0,2.509,2.514,9.509,8.794
14.0,203760.673,-1.6,1.599,2.9,4.0,2.513,2.512,9.525,8.786
15.0,218840.285,-1.6,1.599,2.9,4.0,2.512,2.511,9.52,8.787
16.0,233872.07,-1.6,1.599,2.9,4.0,2.512,2.515,9.518,8.798
17.0,248944.94,-1.6,1.599,2.9,4.0,2.514,2.512,9.526,8.789
18.0,263979.657,-1.6,1.599,2.9,4.0,2.512,2.502,9.518,8.752
19.0,279017.105,-1.6,1.599,2.9,4.0,2.501,2.499,9.481,8.743
20.0,294054.863,-1.6,1.599,2.9,4.0,2.499,2.507,9.475,8.77
21.0,309098.421,-1.6,1.599,2.9,4.0,2.508,2.506,9.504,8.767
22.0,324148.448,-1.6,1.599,2.9,4.0,2.507,2.507,9.5,8.77
23.0,339210.009,-1.6,1.599,2.9,4.0,2.507,2.512,9.503,8.785
24.0,354280.776,-1.6,1.599,2.9,4.0,2.512,2.516,9.516,8.799
25.0,369346.853,-1.6,1.599,2.9,4.0,2.515,2.501,9.527,8.745
26.0,384380.223,-1.6,1.599,2.9,4.0,2.501,2.503,9.48,8.752
27.0,399417.069,-1.6,1.599,2.9,4.0,2.502,2.501,9.485,8.749
28.0,414450.717,-1.633,1.599,2.895,4.0,2.501,2.506,9.481,8.762
