Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,15489.921,-1.134,1.133,2.9,4.0,0.831,2.715,3.278,9.468
2.0,37328.144,-1.134,1.133,2.9,4.0,2.711,2.711,10.144,9.456
3.0,59266.851,-1.134,1.133,2.9,4.0,2.71,2.71,10.142,9.448
4.0,81182.146,-1.134,1.133,2.9,4.0,2.708,2.709,10.138,9.447
5.0,102963.385,-1.134,1.134,2.9,4.0,2.709,2.709,10.136,9.447
6.0,124755.77,-1.134,1.133,2.9,4.0,2.709,2.71,10.131,9.459
7.0,146527.446,-1.134,1.133,2.9,4.0,2.71,2.71,10.137,9.457
8.0,168347.047,-1.134,1.133,2.9,4.001,2.709,2.709,10.134,9.452
9.0,190198.451,-1.134,1.133,2.9,4.0,2.707,2.708,10.13,9.447
10.0,212027.142,-1.134,1.134,2.9,4.0,2.707,2.707,10.127,9.443
11.0,233855.466,-1.134,1.134,2.9,4.0,2.707,2.708,10.128,9.447
12.0,255603.628,-1.134,1.133,2.9,4.001,2.706,2.706,10.126,9.442
13.0,277402.228,-1.134,1.133,2.9,4.0,2.706,2.706,10.124,9.44
14.0,299146.385,-1.134,1.133,2.9,4.0,2.705,2.705,10.12,9.436
15.0,320966.547,-1.134,1.133,2.9,4.0,2.705,2.705,10.121,9.439
16.0,342721.299,-1.134,1.134,2.9,4.0,2.704,2.704,10.116,9.43
17.0,364608.206,-1.134,1.133,2.9,4.0,2.703,2.704,10.116,9.428
18.0,386628.264,-1.134,1.133,2.9,4.0,2.702,2.701,10.114,9.409
19.0,408632.344,-1.134,1.133,2.9,4.0,2.699,2.701,10.11,9.413
20.0,430553.56,-1.134,1.134,2.9,4.0,2.7,2.7,10.109,9.412
21.0,452466.504,-1.134,1.133,2.9,4.0,2.7,2.7,10.106,9.412
