Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,14110.85,-1.133,1.133,2.9,4.0,1.558,2.372,5.893,8.157
2.0,35890.075,-1.133,1.133,2.9,4.0,2.707,2.707,10.131,9.432
3.0,57715.825,-1.133,1.133,2.9,4.001,2.706,2.706,10.127,9.428
4.0,79532.297,-1.133,1.133,2.9,4.0,2.704,2.705,10.123,9.423
5.0,101322.649,-1.133,1.133,2.9,4.0,2.705,2.705,10.123,9.428
6.0,122939.904,-1.134,1.133,2.9,4.0,2.705,2.706,10.117,9.435
7.0,144649.438,-1.133,1.133,2.9,4.0,2.707,2.706,10.125,9.437
8.0,166301.987,-1.134,1.133,2.9,4.0,2.705,2.706,10.122,9.435
9.0,187998.894,-1.134,1.133,2.9,4.0,2.705,2.705,10.121,9.431
10.0,209713.851,-1.133,1.133,2.9,4.001,2.705,2.704,10.12,9.426
11.0,231390.847,-1.133,1.133,2.9,4.0,2.704,2.704,10.117,9.426
12.0,253092.388,-1.134,1.133,2.9,4.0,2.704,2.704,10.116,9.428
13.0,274800.594,-1.133,1.133,2.9,4.0,2.702,2.701,10.109,9.416
14.0,296538.348,-1.133,1.134,2.9,4.001,2.702,2.702,10.11,9.42
15.0,318217.963,-1.133,1.134,2.9,4.0,2.701,2.701,10.107,9.418
16.0,339910.39,-1.133,1.133,2.9,4.0,2.702,2.701,10.109,9.416
17.0,361676.551,-1.133,1.133,2.9,4.0,2.701,2.701,10.108,9.411
18.0,383534.197,-1.133,1.133,2.9,4.0,2.7,2.699,10.106,9.4
19.0,405323.415,-1.133,1.133,2.9,4.0,2.698,2.7,10.104,9.402
20.0,427127.979,-1.133,1.133,2.9,4.0,2.699,2.698,10.105,9.397
21.0,448885.477,-1.133,1.133,2.9,4.0,2.698,2.698,10.1,9.396
22.0,470517.096,-1.133,1.133,2.9,4.0,2.699,2.7,10.103,9.413
23.0,492163.472,-1.133,1.134,2.9,4.001,2.7,2.699,10.103,9.409
24.0,513815.026,-1.133,1.133,2.9,4.0,2.699,2.699,10.1,9.407
25.0,535478.478,-1.133,1.133,2.9,4.0,2.699,2.699,10.1,9.407
26.0,557125.703,-1.133,1.133,2.9,4.0,2.699,2.699,10.098,9.406
27.0,578774.268,-1.133,1.133,2.9,4.001,2.698,2.698,10.095,9.403
28.0,600425.503,-1.133,1.133,2.9,4.0,2.698,2.698,10.095,9.402
29.0,622071.483,-1.133,1.133,2.9,4.001,2.698,2.698,10.095,9.402
30.0,643594.127,-1.134,1.134,2.9,4.001,2.698,2.699,10.095,9.416
31.0,665182.532,-1.134,1.134,2.9,4.001,2.698,2.697,10.093,9.405
32.0,686912.784,-1.133,1.133,2.9,4.0,2.696,2.695,10.086,9.388
33.0,708722.956,-1.133,1.133,2.9,4.0,2.694,2.694,10.084,9.383
34.0,730456.38,-1.134,1.134,2.9,4.001,2.695,2.695,10.086,9.386
35.0,752187.32,-1.134,1.133,2.9,4.001,2.694,2.694,10.085,9.383
36.0,773828.022,-1.134,1.133,2.9,4.0,2.692,2.692,10.077,9.373
37.0,795544.48,-1.133,1.133,2.9,4.0,2.693,2.692,10.079,9.372
38.0,817361.807,-1.133,1.133,2.9,4.0,2.692,2.692,10.077,9.37
39.0,839089.738,-1.133,1.133,2.9,4.001,2.691,2.691,10.075,9.371
40.0,860922.176,-1.133,1.133,2.9,4.0,2.692,2.692,10.078,9.371
41.0,882734.593,-1.133,1.133,2.9,4.0,2.691,2.691,10.074,9.364
42.0,904581.73,-1.133,1.133,2.9,4.0,2.691,2.691,10.075,9.367
43.0,926296.79,-1.134,1.133,2.9,4.0,2.689,2.69,10.068,9.364
44.0,948035.379,-1.133,1.133,2.9,4.0,2.69,2.69,10.07,9.365
45.0,969829.879,-1.134,1.134,2.9,4.0,2.69,2.69,10.073,9.362
46.0,991544.041,-1.133,1.133,2.9,4.001,2.689,2.69,10.068,9.365
47.0,1013265.665,-1.133,1.133,2.9,4.001,2.69,2.69,10.07,9.362
48.0,1035016.715,-1.134,1.133,2.9,4.001,2.688,2.688,10.064,9.355
49.0,1049360.24,-1.6,1.134,2.9,4.0,2.323,2.326,8.603,7.891
50.0,1066572.847,-1.6,1.6,2.9,4.0,2.687,2.689,10.147,9.252
51.0,1083742.881,-1.6,1.6,2.9,4.0,2.688,2.687,10.147,9.247
52.0,1100936.999,-1.6,1.6,2.9,4.001,2.687,2.688,10.146,9.251
53.0,1118060.248,-1.6,1.6,2.9,4.001,2.688,2.688,10.146,9.248
54.0,1135350.998,-1.6,1.6,2.9,4.001,2.688,2.687,10.148,9.243
55.0,1152536.412,-1.6,1.6,2.9,4.001,2.686,2.685,10.142,9.235
56.0,1168300.57,-1.6,1.6,2.9,4.001,2.687,2.484,10.148,8.653
57.0,1183577.137,-1.6,1.6,2.9,4.001,2.487,2.503,9.439,8.712
58.0,1198752.89,-1.935,1.6,2.879,4.001,2.504,2.499,9.498,8.695
59.0,1213974.222,-1.6,1.6,2.9,4.001,2.5,2.496,9.485,8.684
60.0,1229168.181,-1.6,1.6,2.9,4.001,2.498,2.494,9.476,8.678
61.0,1244453.527,-1.6,1.6,2.9,4.001,2.496,2.494,9.473,8.677
62.0,1259662.735,-1.6,1.6,2.9,4.0,2.495,2.485,9.467,8.653
63.0,1274908.949,-1.6,1.6,2.9,4.001,2.488,2.493,9.442,8.674
