Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,12928.337,-1.599,1.6,2.9,4.0,1.315,2.618,5.16,9.137
2.0,28772.848,-1.599,1.6,2.9,4.0,2.613,2.601,9.894,9.079
3.0,44466.365,-1.599,1.6,2.9,4.0,2.6,2.598,9.839,9.073
4.0,60137.17,-1.599,1.6,2.9,4.0,2.597,2.588,9.828,9.039
5.0,75790.755,-1.599,1.6,2.9,4.0,2.588,2.592,9.792,9.058
6.0,91414.971,-1.599,1.6,2.9,4.0,2.592,2.577,9.803,9.0
7.0,106968.891,-1.599,1.6,2.9,4.0,2.577,2.571,9.75,8.982
8.0,122434.2,-1.6,1.6,2.9,4.0,2.571,2.572,9.727,8.987
9.0,137915.201,-1.6,1.6,2.9,4.0,2.571,2.579,9.729,9.011
10.0,153425.86,-1.599,1.6,2.9,4.0,2.578,2.573,9.752,8.99
11.0,168831.955,-1.599,1.6,2.9,4.0,2.574,2.569,9.732,8.977
12.0,184259.549,-1.6,1.6,2.9,4.0,2.568,2.565,9.715,8.963
13.0,199724.475,-1.599,1.6,2.9,4.0,2.563,2.56,9.701,8.941
14.0,215162.123,-1.6,1.6,2.9,4.0,2.56,2.569,9.686,8.975
15.0,230583.672,-1.599,1.6,2.9,4.0,2.569,2.557,9.718,8.934
16.0,245957.766,-1.599,1.6,2.9,4.0,2.557,2.548,9.674,8.905
17.0,261347.589,-1.6,1.6,2.9,4.0,2.547,2.544,9.642,8.885
18.0,276723.719,-1.599,1.6,2.9,4.0,2.543,2.542,9.629,8.88
19.0,292061.692,-1.599,1.6,2.9,4.0,2.542,2.554,9.625,8.925
20.0,307418.099,-1.599,1.6,2.9,4.0,2.554,2.552,9.664,8.915
21.0,322767.057,-1.599,1.6,2.9,4.0,2.552,2.55,9.655,8.91
22.0,338073.302,-1.599,1.6,2.9,4.0,2.55,2.549,9.649,8.906
23.0,353413.405,-1.599,1.6,2.9,4.0,2.549,2.56,9.646,8.943
24.0,368721.813,-1.599,1.6,2.9,4.0,2.559,2.542,9.676,8.881
25.0,384012.147,-1.599,1.6,2.9,4.0,2.541,2.547,9.618,8.897
26.0,399317.36,-1.599,1.6,2.9,4.0,2.546,2.545,9.635,8.892
27.0,414612.812,-1.599,1.6,2.9,4.0,2.545,2.546,9.63,8.896
28.0,429888.102,-1.599,1.6,2.9,4.0,2.546,2.548,9.632,8.903
29.0,439790.471,-1.599,1.6,2.9,4.0,2.072,2.061,7.734,7.077
30.0,455110.515,-1.599,1.6,2.9,4.0,2.535,2.553,9.597,8.917
31.0,470419.073,-1.599,1.6,2.9,4.0,2.553,2.545,9.657,8.89
32.0,485696.08,-1.599,1.6,2.9,4.0,2.545,2.544,9.628,8.888
33.0,500979.437,-1.599,1.6,2.9,4.0,2.543,2.542,9.624,8.879
34.0,516246.925,-1.6,1.6,2.9,4.0,2.541,2.543,9.615,8.882
35.0,531509.882,-1.599,1.6,2.899,4.0,2.543,2.537,9.621,8.862
36.0,546759.736,-1.599,1.6,2.9,4.0,2.537,2.547,9.6,8.898
37.0,561992.994,-1.6,1.6,2.9,4.0,2.547,2.539,9.635,8.872
38.0,577284.915,-1.599,1.6,2.9,4.0,2.538,2.54,9.605,8.872
39.0,592538.24,-1.6,1.6,2.9,4.0,2.54,2.546,9.609,8.895
40.0,607828.787,-1.6,1.6,2.9,4.0,2.545,2.538,9.628,8.864
41.0,623080.045,-1.599,1.6,2.9,4.0,2.537,2.534,9.601,8.851
42.0,638316.993,-1.599,1.6,2.9,4.0,2.534,2.533,9.592,8.848
43.0,653557.754,-1.599,1.6,2.9,4.0,2.532,2.536,9.583,8.857
44.0,668785.108,-1.599,1.6,2.9,4.0,2.535,2.533,9.595,8.846
45.0,684007.503,-1.608,1.6,2.897,4.0,2.532,2.525,9.582,8.821
46.0,699236.755,-1.599,1.6,2.9,4.0,2.524,2.524,9.557,8.817
47.0,714471.729,-1.6,1.6,2.9,4.0,2.524,2.524,9.554,8.813
48.0,729681.415,-1.599,1.6,2.9,4.0,2.524,2.521,9.555,8.805
49.0,744884.583,-1.599,1.6,2.9,4.0,2.521,2.523,9.544,8.809
50.0,760103.975,-1.599,1.6,2.9,4.0,2.523,2.525,9.552,8.818
51.0,775309.511,-1.599,1.6,2.9,4.0,2.524,2.516,9.556,8.785
52.0,790489.367,-1.599,1.6,2.9,4.0,2.516,2.517,9.527,8.789
53.0,805698.003,-1.599,1.6,2.9,4.0,2.516,2.523,9.531,8.811
54.0,820943.091,-1.6,1.6,2.9,4.0,2.522,2.531,9.55,8.838
55.0,836169.448,-1.599,1.6,2.9,4.0,2.53,2.517,9.58,8.788
56.0,851390.523,-1.6,1.6,2.9,4.0,2.516,2.525,9.529,8.815
57.0,866648.913,-1.599,1.6,2.9,4.0,2.523,2.511,9.553,8.765
58.0,881839.422,-1.599,1.6,2.9,4.0,2.511,2.515,9.51,8.778
59.0,897040.945,-1.599,1.6,2.9,4.0,2.514,2.512,9.522,8.77
60.0,912231.814,-1.6,1.6,2.9,4.0,2.512,2.513,9.513,8.774
61.0,927417.706,-1.599,1.6,2.9,4.0,2.513,2.511,9.516,8.765
62.0,942568.279,-1.599,1.6,2.9,4.0,2.511,2.51,9.509,8.764
63.0,957762.91,-1.599,1.6,2.9,4.0,2.509,2.513,9.506,8.772
64.0,972975.656,-1.599,1.6,2.899,4.0,2.513,2.513,9.517,8.774
65.0,988164.713,-1.599,1.6,2.9,4.0,2.513,2.516,9.517,8.782
66.0,1003350.492,-1.6,1.6,2.9,4.0,2.515,2.517,9.523,8.787
67.0,1018532.599,-1.599,1.6,2.9,4.0,2.517,2.516,9.531,8.782
68.0,1033694.515,-1.6,1.6,2.9,4.0,2.515,2.505,9.522,8.746
69.0,1048841.213,-1.6,1.6,2.9,4.0,2.504,2.504,9.486,8.738
70.0,1064002.069,-1.599,1.6,2.9,4.0,2.503,2.507,9.483,8.749
71.0,1079175.821,-1.599,1.6,2.9,4.0,2.506,2.506,9.494,8.747
72.0,1094350.834,-1.599,1.6,2.9,4.0,2.506,2.505,9.492,8.742
73.0,1109542.818,-1.599,1.6,2.9,4.0,2.504,2.507,9.487,8.749
74.0,1124736.369,-1.599,1.6,2.9,4.0,2.506,2.489,9.495,8.686
75.0,1139920.703,-1.599,1.6,2.9,4.0,2.489,2.493,9.436,8.698
76.0,1155055.576,-1.599,1.6,2.898,4.0,2.492,2.497,9.447,8.714
77.0,1170209.81,-1.599,1.6,2.9,4.0,2.496,2.494,9.459,8.7
78.0,1185364.859,-1.599,1.6,2.9,4.0,2.493,2.489,9.448,8.685
79.0,1200511.85,-1.6,1.6,2.9,4.0,2.489,2.49,9.437,8.686
80.0,1215649.918,-1.599,1.6,2.9,4.0,2.488,2.492,9.434,8.693
81.0,1230837.626,-1.599,1.6,2.9,4.0,2.491,2.49,9.444,8.688
82.0,1245974.444,-1.599,1.6,2.9,4.076,2.489,2.489,9.436,8.683
83.0,1261117.654,-1.599,1.6,2.9,4.0,2.488,2.492,9.432,8.696
84.0,1276265.408,-1.599,1.6,2.9,4.0,2.492,2.49,9.445,8.687
85.0,1285888.961,-1.599,1.6,2.9,4.0,2.002,2.007,7.484,6.876
86.0,1301094.592,-1.599,1.6,2.9,4.0,2.493,2.49,9.45,8.685
87.0,1316279.11,-1.599,1.6,2.9,4.0,2.49,2.491,9.44,8.686
88.0,1331413.971,-1.599,1.6,2.9,4.0,2.49,2.488,9.44,8.677
89.0,1346579.156,-1.6,1.6,2.9,4.0,2.488,2.489,9.431,8.68
90.0,1361722.489,-1.599,1.6,2.9,4.0,2.488,2.485,9.432,8.67
91.0,1371300.629,-1.599,1.6,2.9,4.0,1.994,1.995,7.456,6.834
92.0,1386497.768,-1.599,1.6,2.9,4.0,2.483,2.479,9.419,8.646
