Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,17839.755,-1.133,1.134,2.9,4.0,1.6,2.7,6.155,9.424
2.0,39424.297,-1.133,1.134,2.9,4.0,2.7,2.696,10.097,9.407
3.0,61052.768,-1.133,1.134,2.9,4.0,2.698,2.695,10.091,9.401
4.0,82623.12,-1.133,1.134,2.9,4.0,2.697,2.695,10.09,9.403
5.0,104216.25,-1.133,1.134,2.9,4.0,2.698,2.695,10.09,9.404
6.0,125682.714,-1.133,1.134,2.9,4.0,2.698,2.695,10.083,9.411
7.0,147166.313,-1.133,1.134,2.9,4.0,2.698,2.695,10.089,9.406
8.0,163580.388,-1.133,1.134,2.9,4.0,2.348,2.346,8.687,8.081
9.0,185040.696,-1.133,1.134,2.9,4.0,2.695,2.693,10.08,9.399
10.0,206511.268,-1.133,1.134,2.9,4.0,2.696,2.693,10.084,9.398
11.0,227977.96,-1.133,1.134,2.9,4.0,2.695,2.692,10.079,9.394
12.0,249486.622,-1.133,1.134,2.9,4.0,2.695,2.692,10.078,9.394
13.0,270999.905,-1.133,1.134,2.9,4.0,2.694,2.691,10.074,9.389
14.0,292516.057,-1.133,1.134,2.9,4.0,2.693,2.69,10.072,9.387
15.0,313968.784,-1.133,1.134,2.9,4.0,2.693,2.69,10.073,9.385
16.0,330371.44,-1.133,1.134,2.9,4.0,2.339,2.339,8.658,8.05
17.0,351934.198,-1.133,1.134,2.9,4.0,2.691,2.688,10.065,9.377
18.0,373452.287,-1.133,1.134,2.9,4.0,2.69,2.687,10.065,9.372
19.0,395049.623,-1.133,1.134,2.9,4.0,2.689,2.685,10.058,9.358
20.0,416562.101,-1.133,1.134,2.9,4.0,2.688,2.686,10.059,9.364
21.0,438124.409,-1.133,1.134,2.9,4.0,2.688,2.686,10.059,9.365
22.0,459608.006,-1.133,1.134,2.9,4.0,2.688,2.686,10.058,9.37
23.0,481004.458,-1.133,1.134,2.9,4.0,2.69,2.687,10.059,9.378
24.0,497329.909,-1.133,1.134,2.9,4.0,2.336,2.336,8.644,8.038
25.0,518785.061,-1.133,1.134,2.9,4.0,2.688,2.685,10.054,9.369
26.0,540210.971,-1.133,1.134,2.9,4.0,2.688,2.685,10.053,9.37
27.0,561644.913,-1.133,1.134,2.9,4.0,2.688,2.685,10.052,9.369
