Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,9140.667,-1.6,1.6,2.9,4.246,0.002,3.306,0.003,11.662
2.0,26449.99,-1.6,1.601,2.9,4.0,2.755,2.745,10.392,9.497
3.0,43673.231,-1.6,1.601,2.9,4.0,2.743,2.743,10.343,9.486
4.0,60863.353,-1.6,1.601,2.9,4.0,2.743,2.741,10.342,9.481
5.0,78018.773,-1.6,1.601,2.9,4.0,2.743,2.741,10.338,9.481
6.0,95180.368,-1.6,1.601,2.9,4.0,2.743,2.742,10.337,9.481
7.0,112334.364,-1.6,1.601,2.9,4.0,2.743,2.74,10.337,9.478
8.0,129505.732,-1.6,1.601,2.9,4.0,2.742,2.739,10.334,9.47
9.0,146673.425,-1.6,1.601,2.9,4.0,2.741,2.739,10.332,9.47
10.0,158412.603,-1.6,1.601,2.9,4.0,2.258,2.258,8.398,7.664
11.0,175581.9,-1.6,1.601,2.9,4.0,2.739,2.737,10.321,9.463
12.0,192703.506,-1.6,1.601,2.9,4.0,2.739,2.737,10.324,9.464
13.0,209857.092,-1.6,1.601,2.9,4.0,2.74,2.736,10.324,9.458
14.0,226993.231,-1.6,1.601,2.9,4.0,2.738,2.735,10.318,9.454
15.0,244122.362,-1.6,1.601,2.9,4.0,2.737,2.734,10.315,9.45
16.0,261263.723,-1.6,1.601,2.9,4.0,2.736,2.733,10.312,9.445
17.0,278395.481,-1.6,1.601,2.9,4.0,2.735,2.733,10.309,9.446
18.0,295559.138,-1.6,1.601,2.9,4.0,2.735,2.731,10.307,9.437
19.0,312739.514,-1.6,1.601,2.9,4.0,2.733,2.73,10.303,9.432
20.0,329924.443,-1.6,1.601,2.9,4.0,2.733,2.73,10.301,9.431
21.0,347078.795,-1.6,1.601,2.9,4.0,2.732,2.73,10.299,9.43
22.0,364276.073,-1.6,1.601,2.9,4.0,2.732,2.728,10.297,9.424
23.0,381449.32,-1.6,1.601,2.9,4.0,2.73,2.728,10.294,9.423
24.0,398624.42,-1.6,1.601,2.9,4.0,2.731,2.728,10.295,9.422
25.0,415788.042,-1.6,1.601,2.9,4.0,2.73,2.727,10.291,9.418
26.0,433019.977,-1.6,1.601,2.9,4.0,2.73,2.726,10.29,9.414
27.0,450266.205,-1.6,1.601,2.9,4.0,2.728,2.724,10.285,9.403
28.0,467552.249,-1.6,1.601,2.9,4.0,2.727,2.724,10.285,9.403
29.0,484811.413,-1.6,1.601,2.9,4.0,2.726,2.724,10.283,9.403
30.0,502048.603,-1.6,1.601,2.9,4.0,2.727,2.724,10.282,9.402
31.0,519235.082,-1.6,1.601,2.9,4.0,2.728,2.726,10.284,9.412
32.0,530954.238,-1.6,1.601,2.9,4.0,2.235,2.234,8.311,7.564
33.0,548180.214,-1.6,1.601,2.9,4.0,2.726,2.723,10.276,9.4
34.0,565375.414,-1.6,1.601,2.9,4.0,2.726,2.723,10.277,9.398
35.0,582574.882,-1.6,1.601,2.9,4.0,2.725,2.722,10.275,9.396
36.0,599772.515,-1.6,1.601,2.9,4.0,2.725,2.722,10.276,9.396
37.0,616981.122,-1.6,1.601,2.9,4.0,2.725,2.722,10.273,9.393
38.0,634238.431,-1.6,1.601,2.9,4.0,2.724,2.72,10.27,9.382
39.0,651543.33,-1.6,1.601,2.9,4.0,2.721,2.719,10.266,9.376
40.0,668812.458,-1.6,1.601,2.9,4.0,2.722,2.719,10.266,9.379
41.0,686081.09,-1.6,1.601,2.9,4.0,2.721,2.719,10.264,9.378
42.0,703327.886,-1.6,1.601,2.9,4.0,2.721,2.718,10.263,9.378
43.0,720628.276,-1.6,1.601,2.9,4.0,2.721,2.717,10.26,9.369
44.0,737967.682,-1.6,1.601,2.9,4.0,2.719,2.716,10.258,9.363
45.0,755253.372,-1.6,1.601,2.9,4.0,2.718,2.716,10.257,9.365
46.0,772514.786,-1.6,1.601,2.9,4.0,2.719,2.716,10.255,9.365
47.0,789791.357,-1.6,1.601,2.9,4.0,2.718,2.715,10.253,9.362
48.0,807133.899,-1.6,1.601,2.9,4.0,2.718,2.714,10.251,9.355
49.0,824481.68,-1.6,1.601,2.9,4.0,2.717,2.714,10.25,9.353
50.0,841861.13,-1.6,1.601,2.9,4.0,2.716,2.713,10.248,9.347
51.0,859291.856,-1.6,1.601,2.9,4.0,2.715,2.712,10.245,9.34
52.0,876627.087,-1.6,1.601,2.9,4.0,2.715,2.713,10.247,9.351
53.0,894036.574,-1.6,1.601,2.9,4.0,2.715,2.711,10.244,9.341
54.0,911437.951,-1.6,1.601,2.9,4.0,2.713,2.711,10.242,9.341
55.0,928855.041,-1.6,1.601,2.9,4.0,2.714,2.71,10.241,9.335
56.0,946295.222,-1.6,1.601,2.9,4.0,2.713,2.709,10.239,9.331
57.0,963741.943,-1.6,1.601,2.9,4.0,2.712,2.709,10.237,9.331
58.0,981305.415,-1.6,1.601,2.9,4.0,2.711,2.707,10.234,9.313
59.0,998875.354,-1.6,1.601,2.9,4.0,2.709,2.707,10.232,9.314
60.0,1016422.133,-1.6,1.601,2.9,4.0,2.71,2.707,10.234,9.319
61.0,1033922.228,-1.6,1.601,2.9,4.0,2.71,2.707,10.232,9.317
62.0,1051422.801,-1.6,1.601,2.9,4.0,2.71,2.707,10.231,9.318
63.0,1069025.524,-1.6,1.601,2.9,4.0,2.709,2.705,10.229,9.304
64.0,1086598.157,-1.6,1.601,2.9,4.0,2.707,2.705,10.226,9.307
65.0,1104000.288,-1.6,1.601,2.9,4.0,2.709,2.707,10.229,9.323
66.0,1121451.049,-1.6,1.601,2.9,4.0,2.71,2.706,10.227,9.318
67.0,1138988.212,-1.6,1.601,2.9,4.0,2.708,2.705,10.226,9.308
68.0,1156517.234,-1.6,1.601,2.9,4.0,2.708,2.705,10.224,9.308
69.0,1174026.013,-1.6,1.601,2.9,4.0,2.707,2.704,10.222,9.306
70.0,1191571.33,-1.6,1.601,2.9,4.0,2.707,2.704,10.221,9.304
71.0,1209150.681,-1.6,1.601,2.9,4.0,2.706,2.703,10.221,9.299
72.0,1226685.774,-1.6,1.601,2.9,4.0,2.706,2.703,10.218,9.298
73.0,1244175.053,-1.6,1.601,2.9,4.0,2.706,2.703,10.217,9.305
74.0,1261648.338,-1.6,1.601,2.9,4.0,2.706,2.703,10.218,9.305
75.0,1279174.059,-1.6,1.601,2.9,4.0,2.706,2.702,10.215,9.295
76.0,1296800.178,-1.6,1.601,2.9,4.0,2.704,2.701,10.214,9.289
77.0,1314433.136,-1.6,1.601,2.9,4.0,2.704,2.7,10.212,9.286
78.0,1332115.354,-1.6,1.601,2.9,4.0,2.703,2.699,10.21,9.276
79.0,1349756.275,-1.6,1.601,2.9,4.0,2.702,2.699,10.209,9.28
80.0,1367456.516,-1.6,1.601,2.9,4.0,2.702,2.698,10.207,9.273
81.0,1385131.536,-1.6,1.601,2.9,4.0,2.701,2.698,10.205,9.271
82.0,1402820.935,-1.6,1.601,2.9,4.0,2.701,2.698,10.206,9.276
83.0,1420480.572,-1.6,1.601,2.9,4.0,2.701,2.698,10.206,9.273
84.0,1438182.208,-1.6,1.601,2.9,4.0,2.7,2.697,10.202,9.267
85.0,1455858.727,-1.6,1.601,2.9,4.0,2.7,2.697,10.201,9.266
86.0,1473562.291,-1.6,1.601,2.9,4.0,2.699,2.696,10.199,9.265
87.0,1491106.17,-1.6,1.601,2.9,4.0,2.7,2.698,10.198,9.276
88.0,1508609.351,-1.6,1.601,2.9,4.001,2.701,2.698,10.2,9.28
89.0,1526182.016,-1.6,1.601,2.9,4.0,2.7,2.697,10.198,9.271
90.0,1543817.232,-1.6,1.601,2.9,4.0,2.699,2.696,10.197,9.268
91.0,1561473.763,-1.6,1.601,2.9,4.0,2.698,2.695,10.194,9.262
92.0,1579089.244,-1.6,1.601,2.9,4.0,2.698,2.695,10.195,9.266
93.0,1596715.809,-1.6,1.601,2.9,4.0,2.698,2.695,10.193,9.261
94.0,1614394.444,-1.6,1.601,2.9,4.0,2.697,2.694,10.19,9.255
95.0,1632137.369,-1.6,1.601,2.9,4.0,2.696,2.693,10.189,9.251
96.0,1649905.715,-1.6,1.601,2.9,4.0,2.696,2.693,10.189,9.249
97.0,1667609.864,-1.6,1.601,2.9,4.0,2.695,2.691,10.186,9.242
98.0,1685429.866,-1.6,1.601,2.9,4.0,2.694,2.69,10.184,9.237
99.0,1703262.716,-1.6,1.601,2.9,4.0,2.693,2.69,10.184,9.235
100.0,1721164.985,-1.6,1.601,2.9,4.0,2.693,2.69,10.183,9.234
101.0,1738988.535,-1.6,1.601,2.9,4.0,2.692,2.689,10.18,9.231
102.0,1756945.162,-1.6,1.601,2.9,4.0,2.693,2.689,10.181,9.228
103.0,1774859.085,-1.6,1.601,2.9,4.0,2.691,2.687,10.175,9.221
104.0,1792676.74,-1.6,1.601,2.9,4.0,2.691,2.688,10.178,9.224
105.0,1810513.125,-1.6,1.601,2.9,4.001,2.692,2.688,10.178,9.225
106.0,1828486.334,-1.6,1.601,2.9,4.0,2.69,2.687,10.174,9.217
107.0,1846393.789,-1.6,1.601,2.9,4.0,2.689,2.686,10.171,9.216
108.0,1864286.557,-1.6,1.601,2.9,4.0,2.689,2.686,10.172,9.216
109.0,1882188.665,-1.6,1.601,2.9,4.0,2.689,2.686,10.17,9.214
110.0,1900054.882,-1.6,1.601,2.9,4.001,2.688,2.685,10.168,9.212
111.0,1917924.652,-1.6,1.601,2.9,4.0,2.688,2.684,10.165,9.204
112.0,1935887.403,-1.6,1.601,2.9,4.0,2.687,2.683,10.165,9.2
113.0,1954053.579,-1.6,1.601,2.9,4.0,2.685,2.68,10.159,9.177
114.0,1972118.74,-1.6,1.601,2.9,4.0,2.684,2.682,10.157,9.192
115.0,1990047.797,-1.6,1.601,2.9,4.0,2.685,2.684,10.162,9.209
116.0,2007793.766,-1.6,1.601,2.9,4.001,2.688,2.687,10.165,9.225
117.0,2025572.706,-1.6,1.601,2.9,4.001,2.689,2.685,10.162,9.219
118.0,2043298.04,-1.6,1.601,2.9,4.001,2.688,2.685,10.16,9.221
119.0,2061160.007,-1.6,1.601,2.9,4.001,2.688,2.684,10.163,9.212
120.0,2078965.462,-1.6,1.601,2.9,4.001,2.686,2.684,10.159,9.209
121.0,2096668.965,-1.6,1.601,2.9,4.001,2.688,2.686,10.161,9.225
122.0,2114403.262,-1.6,1.601,2.9,4.001,2.688,2.684,10.159,9.216
123.0,2132130.972,-1.6,1.601,2.9,4.001,2.687,2.684,10.157,9.217
124.0,2149877.264,-1.6,1.601,2.9,4.001,2.687,2.684,10.156,9.213
125.0,2167627.264,-1.6,1.601,2.9,4.001,2.687,2.684,10.156,9.214
126.0,2185641.278,-1.6,1.601,2.9,4.001,2.684,2.678,10.15,9.178
127.0,2203732.266,-1.6,1.601,2.9,4.0,2.681,2.677,10.146,9.173
128.0,2221882.49,-1.6,1.601,2.9,4.0,2.68,2.676,10.143,9.17
129.0,2240032.605,-1.6,1.601,2.9,4.0,2.679,2.676,10.142,9.166
130.0,2258245.773,-1.6,1.601,2.9,4.0,2.679,2.674,10.142,9.159
131.0,2276398.518,-1.6,1.601,2.9,4.0,2.677,2.674,10.137,9.156
132.0,2294585.222,-1.6,1.601,2.9,4.0,2.677,2.673,10.135,9.15
133.0,2312792.505,-1.6,1.601,2.9,4.0,2.676,2.673,10.134,9.151
134.0,2330944.91,-1.6,1.601,2.9,4.0,2.676,2.673,10.134,9.154
135.0,2349191.048,-1.6,1.601,2.9,4.0,2.675,2.681,10.13,9.183
136.0,2367329.248,-1.6,1.601,2.9,4.0,2.675,2.672,10.132,9.15
137.0,2385535.347,-1.6,1.601,2.9,4.0,2.674,2.671,10.127,9.142
138.0,2403830.988,-1.6,1.601,2.9,4.0,2.674,2.669,10.126,9.134
139.0,2422200.57,-1.6,1.601,2.9,4.0,2.672,2.668,10.123,9.128
140.0,2440477.397,-1.6,1.601,2.9,4.0,2.672,2.67,10.123,9.138
141.0,2458704.244,-1.6,1.601,2.9,4.0,2.673,2.671,10.125,9.141
142.0,2476793.105,-1.6,1.601,2.9,4.001,2.673,2.671,10.124,9.152
143.0,2494904.317,-1.6,1.601,2.9,4.001,2.674,2.671,10.124,9.15
144.0,2513025.394,-1.6,1.601,2.9,4.001,2.673,2.67,10.122,9.141
145.0,2531213.242,-1.6,1.601,2.9,4.0,2.673,2.669,10.121,9.136
146.0,2549362.915,-1.6,1.601,2.9,4.001,2.672,2.668,10.118,9.134
147.0,2567490.612,-1.6,1.601,2.9,4.001,2.671,2.668,10.115,9.132
148.0,2585622.74,-1.6,1.601,2.9,4.001,2.671,2.668,10.114,9.135
149.0,2603803.779,-1.6,1.601,2.9,4.001,2.671,2.668,10.115,9.132
150.0,2622068.656,-1.6,1.601,2.9,4.001,2.67,2.665,10.112,9.123
151.0,2640394.824,-1.6,1.601,2.9,4.001,2.668,2.665,10.107,9.12
152.0,2658620.72,-1.6,1.601,2.9,4.001,2.668,2.665,10.107,9.122
153.0,2676907.077,-1.6,1.601,2.9,4.001,2.668,2.663,10.105,9.113
154.0,2695264.594,-1.6,1.601,2.9,4.001,2.666,2.663,10.102,9.109
155.0,2713675.567,-1.6,1.601,2.9,4.0,2.666,2.663,10.103,9.108
156.0,2725494.085,-1.6,1.601,2.9,4.0,2.094,2.093,7.815,7.0
157.0,2743993.302,-1.6,1.601,2.9,4.0,2.662,2.659,10.1,9.084
158.0,2762521.971,-1.6,1.601,2.9,4.0,2.663,2.658,10.096,9.086
159.0,2780998.758,-1.6,1.601,2.9,4.0,2.662,2.658,10.092,9.084
160.0,2799412.02,-1.6,1.601,2.9,4.0,2.662,2.66,10.093,9.092
161.0,2811102.025,-1.6,1.601,2.9,4.0,2.095,2.097,7.82,7.018
162.0,2829374.979,-1.6,1.601,2.9,4.001,2.665,2.661,10.097,9.105
163.0,2847666.446,-1.6,1.601,2.9,4.001,2.664,2.659,10.093,9.095
164.0,2865953.334,-1.6,1.601,2.9,4.001,2.663,2.66,10.09,9.098
165.0,2884239.041,-1.6,1.601,2.9,4.001,2.663,2.659,10.089,9.098
166.0,2902513.433,-1.6,1.601,2.9,4.001,2.662,2.659,10.087,9.096
167.0,2920813.277,-1.6,1.601,2.9,4.0,2.662,2.659,10.086,9.094
168.0,2939098.292,-1.6,1.601,2.9,4.001,2.662,2.658,10.086,9.093
169.0,2957377.091,-1.6,1.601,2.9,4.0,2.661,2.658,10.084,9.093
170.0,2969026.186,-1.6,1.601,2.9,4.0,2.093,2.095,7.812,7.01
171.0,2987225.421,-1.6,1.601,2.9,4.001,2.662,2.659,10.089,9.102
172.0,3005476.387,-1.6,1.601,2.9,4.001,2.662,2.657,10.083,9.09
173.0,3023864.728,-1.6,1.601,2.9,4.001,2.66,2.656,10.08,9.077
174.0,3042312.527,-1.6,1.601,2.9,4.001,2.656,2.652,10.07,9.061
175.0,3060923.381,-1.6,1.601,2.9,4.001,2.657,2.652,10.075,9.062
176.0,3079484.844,-1.6,1.601,2.9,4.001,2.655,2.652,10.068,9.061
177.0,3091106.108,-1.6,1.601,2.9,4.0,2.077,2.073,7.757,6.924
178.0,3109678.488,-1.6,1.601,2.9,4.001,2.655,2.649,10.071,9.045
179.0,3128166.903,-1.6,1.601,2.9,4.001,2.653,2.65,10.065,9.045
180.0,3146709.502,-1.6,1.601,2.9,4.001,2.651,2.648,10.06,9.041
181.0,3165405.276,-1.6,1.601,2.9,4.001,2.652,2.648,10.062,9.037
182.0,3184101.972,-1.6,1.601,2.9,4.0,2.65,2.647,10.056,9.035
183.0,3202770.503,-1.6,1.601,2.9,4.001,2.65,2.646,10.056,9.033
184.0,3221416.586,-1.6,1.601,2.9,4.0,2.649,2.646,10.052,9.028
185.0,3239979.476,-1.6,1.601,2.9,4.0,2.649,2.645,10.052,9.026
186.0,3258514.001,-1.6,1.601,2.9,4.0,2.648,2.644,10.05,9.023
187.0,3277215.123,-1.6,1.601,2.9,4.001,2.648,2.644,10.049,9.022
188.0,3295819.466,-1.6,1.601,2.9,4.001,2.647,2.643,10.047,9.017
189.0,3314467.572,-1.6,1.601,2.9,4.001,2.646,2.643,10.046,9.022
190.0,3332965.651,-1.6,1.601,2.9,4.001,2.647,2.644,10.041,9.029
191.0,3351580.122,-1.6,1.601,2.9,4.001,2.648,2.645,10.046,9.03
192.0,3370263.34,-1.6,1.601,2.9,4.0,2.648,2.643,10.046,9.021
193.0,3388898.656,-1.6,1.601,2.9,4.0,2.646,2.643,10.041,9.02
194.0,3407398.49,-1.6,1.601,2.9,4.001,2.646,2.643,10.041,9.019
195.0,3425945.251,-1.6,1.601,2.9,4.0,2.645,2.641,10.039,9.008
