Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,16001.85,-1.133,1.134,2.9,4.0,0.895,2.705,3.522,9.433
2.0,37706.228,-1.133,1.134,2.9,4.0,2.704,2.703,10.117,9.428
3.0,59465.169,-1.133,1.134,2.9,4.0,2.703,2.702,10.113,9.421
4.0,81211.09,-1.133,1.134,2.9,4.0,2.701,2.702,10.11,9.422
5.0,102842.62,-1.133,1.134,2.9,4.0,2.702,2.702,10.109,9.422
6.0,124480.97,-1.133,1.134,2.9,4.0,2.703,2.703,10.109,9.433
7.0,146109.178,-1.133,1.134,2.9,4.0,2.703,2.703,10.109,9.431
8.0,167797.645,-1.133,1.134,2.9,4.0,2.702,2.702,10.107,9.428
9.0,189480.562,-1.133,1.134,2.9,4.0,2.701,2.701,10.103,9.424
10.0,211182.95,-1.133,1.134,2.9,4.0,2.701,2.7,10.101,9.419
11.0,232842.191,-1.133,1.134,2.9,4.0,2.7,2.701,10.1,9.42
12.0,254466.843,-1.133,1.134,2.9,4.0,2.7,2.701,10.099,9.42
13.0,276149.342,-1.133,1.134,2.9,4.0,2.7,2.7,10.1,9.416
14.0,297813.083,-1.133,1.134,2.9,4.0,2.699,2.699,10.097,9.41
15.0,319457.638,-1.133,1.134,2.9,4.0,2.699,2.7,10.097,9.414
16.0,341173.662,-1.133,1.134,2.9,4.0,2.699,2.699,10.097,9.41
17.0,362854.879,-1.133,1.134,2.9,4.0,2.698,2.697,10.092,9.403
18.0,384629.979,-1.133,1.134,2.9,4.0,2.697,2.696,10.09,9.393
19.0,406375.985,-1.133,1.134,2.9,4.0,2.695,2.695,10.087,9.395
20.0,428086.568,-1.133,1.134,2.9,4.0,2.695,2.696,10.086,9.394
21.0,449791.904,-1.133,1.134,2.9,4.0,2.695,2.695,10.083,9.391
22.0,471383.359,-1.133,1.134,2.9,4.0,2.695,2.697,10.085,9.405
23.0,492969.566,-1.133,1.134,2.9,4.0,2.696,2.696,10.083,9.401
24.0,514591.489,-1.133,1.134,2.9,4.0,2.695,2.695,10.081,9.4
25.0,536156.405,-1.133,1.134,2.9,4.0,2.694,2.695,10.078,9.397
26.0,557748.806,-1.133,1.134,2.9,4.0,2.694,2.695,10.078,9.397
27.0,579335.411,-1.133,1.134,2.9,4.0,2.693,2.694,10.075,9.393
28.0,600897.914,-1.133,1.134,2.9,4.0,2.693,2.694,10.073,9.393
29.0,622455.597,-1.133,1.134,2.9,4.0,2.693,2.693,10.072,9.392
30.0,643927.079,-1.133,1.134,2.9,4.0,2.694,2.695,10.074,9.406
31.0,665458.532,-1.133,1.134,2.9,4.001,2.694,2.694,10.072,9.398
32.0,687127.323,-1.133,1.134,2.9,4.0,2.692,2.691,10.066,9.378
33.0,708874.476,-1.133,1.134,2.9,4.0,2.69,2.69,10.065,9.375
34.0,730519.982,-1.133,1.134,2.9,4.0,2.69,2.691,10.064,9.378
35.0,752166.211,-1.133,1.134,2.9,4.0,2.69,2.689,10.063,9.373
36.0,773757.064,-1.133,1.134,2.9,4.0,2.688,2.689,10.058,9.368
37.0,795397.055,-1.133,1.134,2.9,4.0,2.688,2.688,10.059,9.365
38.0,811755.914,-1.133,1.134,2.9,4.0,2.327,2.33,8.615,8.002
39.0,833467.371,-1.133,1.134,2.9,4.0,2.687,2.687,10.056,9.362
40.0,849896.434,-1.133,1.134,2.9,4.0,2.337,2.326,8.654,7.988
41.0,871629.206,-1.133,1.134,2.9,4.0,2.686,2.687,10.052,9.359
42.0,887975.061,-1.133,1.134,2.9,4.0,2.321,2.323,8.59,7.973
43.0,909632.03,-1.133,1.134,2.9,4.0,2.685,2.686,10.05,9.355
44.0,931300.402,-1.133,1.134,2.9,4.0,2.686,2.686,10.052,9.356
45.0,952989.488,-1.133,1.134,2.9,4.0,2.685,2.685,10.049,9.353
46.0,974676.781,-1.133,1.134,2.9,4.0,2.685,2.686,10.049,9.356
47.0,996359.485,-1.133,1.134,2.9,4.0,2.685,2.685,10.048,9.355
48.0,1018041.988,-1.133,1.134,2.9,4.0,2.685,2.685,10.048,9.354
49.0,1039716.016,-1.133,1.134,2.9,4.0,2.684,2.684,10.045,9.347
50.0,1057694.072,-1.6,1.6,2.9,4.0,2.689,2.685,10.111,9.243
51.0,1074774.493,-1.6,1.6,2.9,4.0,2.683,2.684,10.126,9.241
52.0,1091873.568,-1.6,1.6,2.9,4.0,2.683,2.684,10.128,9.242
53.0,1109015.818,-1.6,1.6,2.9,4.001,2.683,2.684,10.127,9.242
54.0,1126192.34,-1.6,1.6,2.9,4.0,2.683,2.683,10.125,9.237
55.0,1143350.288,-1.6,1.6,2.9,4.0,2.682,2.683,10.125,9.232
56.0,1160310.405,-1.6,1.6,2.9,4.0,2.682,2.678,10.125,9.213
57.0,1176019.216,-1.6,1.6,2.9,4.0,2.677,2.497,10.108,8.694
58.0,1191301.505,-1.6,1.6,2.9,4.001,2.5,2.506,9.482,8.722
59.0,1206575.954,-1.6,1.6,2.9,4.0,2.507,2.499,9.508,8.699
60.0,1221833.007,-1.6,1.6,2.9,4.0,2.501,2.489,9.485,8.667
61.0,1237059.852,-1.6,1.6,2.9,4.0,2.491,2.483,9.449,8.646
62.0,1252295.484,-1.6,1.6,2.9,4.0,2.485,2.494,9.429,8.681
63.0,1267530.074,-1.6,1.6,2.9,4.001,2.496,2.495,9.468,8.682
64.0,1282760.839,-1.6,1.6,2.9,4.0,2.496,2.496,9.466,8.688
65.0,1298065.765,-1.6,1.6,2.9,4.001,2.498,2.498,9.477,8.691
66.0,1313340.213,-1.6,1.6,2.9,4.0,2.499,2.488,9.481,8.652
67.0,1328582.581,-1.6,1.6,2.9,4.0,2.488,2.48,9.443,8.632
68.0,1343788.013,-1.654,1.6,2.899,4.0,2.482,2.492,9.42,8.666
69.0,1359057.583,-1.6,1.6,2.9,4.0,2.494,2.491,9.462,8.664
70.0,1374316.442,-1.6,1.6,2.9,4.0,2.492,2.491,9.457,8.665
