Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,63530.021,-1.599,1.6,2.9,4.163,0.02,3.124,0.083,11.109
2.0,79048.845,-1.599,1.6,2.9,4.0,2.587,2.584,9.804,9.026
3.0,94590.193,-1.599,1.6,2.9,4.0,2.58,2.577,9.778,8.999
4.0,110134.903,-1.599,1.6,2.9,4.0,2.574,2.574,9.759,8.986
5.0,125681.548,-1.599,1.6,2.9,4.0,2.572,2.575,9.751,8.992
6.0,141287.211,-1.599,1.6,2.9,4.0,2.573,2.571,9.753,8.976
7.0,156842.242,-1.6,1.6,2.9,4.0,2.569,2.568,9.742,8.961
8.0,172391.751,-1.599,1.6,2.9,4.0,2.567,2.565,9.733,8.952
9.0,187919.336,-1.599,1.6,2.9,4.0,2.563,2.56,9.722,8.933
10.0,203451.398,-1.599,1.6,2.9,4.0,2.559,2.561,9.706,8.939
11.0,219011.179,-1.599,1.6,2.9,4.0,2.56,2.564,9.71,8.945
12.0,234554.598,-1.599,1.6,2.9,4.0,2.563,2.554,9.719,8.912
13.0,250097.587,-1.599,1.6,2.9,4.0,2.553,2.552,9.686,8.901
14.0,265626.201,-1.599,1.6,2.9,4.0,2.551,2.559,9.681,8.929
15.0,281174.824,-1.599,1.6,2.9,4.0,2.558,2.56,9.702,8.929
16.0,296719.345,-1.599,1.6,2.896,4.0,2.559,2.557,9.704,8.919
17.0,312246.162,-1.599,1.6,2.9,4.0,2.557,2.556,9.697,8.914
18.0,327812.506,-1.599,1.6,2.9,4.0,2.554,2.549,9.688,8.89
19.0,343350.072,-1.599,1.6,2.9,4.0,2.549,2.554,9.671,8.905
20.0,358891.369,-1.599,1.6,2.9,4.0,2.553,2.553,9.686,8.902
21.0,374421.908,-1.599,1.6,2.9,4.0,2.552,2.549,9.68,8.887
22.0,389955.142,-1.599,1.6,2.9,4.0,2.548,2.547,9.669,8.883
23.0,405523.717,-1.599,1.6,2.9,4.0,2.545,2.542,9.661,8.863
24.0,421053.706,-1.599,1.6,2.9,4.0,2.543,2.564,9.651,8.941
25.0,436593.658,-1.599,1.6,2.9,4.0,2.563,2.566,9.719,8.949
26.0,452060.866,-1.599,1.6,2.9,4.0,2.565,2.542,9.724,8.864
27.0,467579.451,-1.599,1.6,2.9,4.0,2.541,2.546,9.643,8.873
28.0,483139.37,-1.599,1.6,2.9,4.0,2.544,2.548,9.656,8.881
29.0,498701.602,-1.599,1.6,2.9,4.0,2.547,2.541,9.666,8.854
30.0,514226.108,-1.599,1.6,2.9,4.0,2.541,2.543,9.644,8.861
31.0,529799.246,-1.599,1.6,2.899,4.0,2.542,2.548,9.649,8.879
32.0,545358.681,-1.599,1.6,2.9,4.0,2.547,2.544,9.667,8.861
33.0,560911.0,-1.599,1.6,2.9,4.0,2.543,2.543,9.65,8.859
34.0,576436.336,-1.599,1.6,2.9,4.0,2.542,2.536,9.649,8.837
35.0,592037.53,-1.599,1.6,2.9,4.0,2.535,2.533,9.626,8.826
36.0,607590.236,-1.599,1.6,2.9,4.0,2.532,2.534,9.616,8.827
37.0,623193.312,-1.599,1.6,2.9,4.0,2.535,2.529,9.628,8.812
38.0,638729.439,-1.599,1.6,2.9,4.0,2.526,2.532,9.594,8.817
39.0,654286.403,-1.599,1.6,2.9,4.0,2.531,2.529,9.613,8.808
40.0,669848.058,-1.599,1.6,2.9,4.0,2.528,2.524,9.602,8.788
41.0,685412.094,-1.599,1.6,2.9,4.0,2.523,2.529,9.587,8.807
42.0,700975.613,-1.599,1.6,2.9,4.0,2.528,2.524,9.603,8.787
43.0,716534.169,-1.599,1.6,2.9,4.0,2.523,2.528,9.584,8.8
