Cycle_Index,Test_Time (s),Min_Current (A),Max_Current (A),Min_Voltage (V),Max_Voltage (V),Charge_Capacity (Ah),Discharge_Capacity (Ah),Charge_Energy (Wh),Discharge_Energy (Wh)
1.0,63364.095,-1.61,1.599,2.9,4.164,0.002,3.088,0.008,10.987
2.0,78727.222,-1.6,1.6,2.9,4.0,2.549,2.534,9.67,8.856
3.0,94082.432,-1.6,1.6,2.9,4.0,2.532,2.525,9.607,8.822
4.0,103746.435,-1.6,1.6,2.9,4.0,2.014,2.013,7.541,6.902
5.0,119137.008,-1.6,1.6,2.9,4.0,2.522,2.521,9.572,8.807
6.0,134488.45,-1.6,1.6,2.9,4.0,2.524,2.511,9.58,8.772
7.0,149808.401,-1.601,1.6,2.9,4.0,2.512,2.516,9.536,8.786
8.0,165171.985,-1.6,1.6,2.9,4.0,2.518,2.515,9.557,8.782
9.0,180538.481,-1.6,1.6,2.9,4.0,2.517,2.518,9.553,8.794
10.0,195895.443,-1.6,1.6,2.9,4.0,2.52,2.516,9.562,8.786
11.0,211236.708,-1.6,1.6,2.9,4.0,2.518,2.514,9.558,8.78
12.0,220867.593,-1.6,1.6,2.9,4.0,2.006,2.006,7.508,6.879
13.0,236236.529,-1.6,1.6,2.9,4.0,2.516,2.509,9.55,8.759
14.0,251603.173,-1.6,1.6,2.9,4.0,2.511,2.505,9.534,8.745
15.0,266954.496,-1.6,1.6,2.9,4.0,2.508,2.511,9.522,8.766
16.0,282313.763,-1.6,1.6,2.9,4.0,2.513,2.509,9.539,8.756
17.0,297667.729,-1.6,1.6,2.9,4.0,2.51,2.505,9.53,8.742
18.0,313003.111,-1.6,1.6,2.9,4.0,2.508,2.505,9.52,8.745
19.0,328372.064,-1.6,1.6,2.9,4.0,2.507,2.502,9.519,8.73
20.0,343700.285,-1.6,1.6,2.9,4.0,2.504,2.503,9.508,8.734
21.0,359052.593,-1.601,1.6,2.9,4.0,2.506,2.503,9.514,8.736
22.0,374411.409,-1.6,1.6,2.9,4.0,2.506,2.501,9.514,8.728
23.0,389762.521,-1.6,1.6,2.9,4.0,2.504,2.503,9.506,8.735
24.0,405132.352,-1.6,1.6,2.9,4.0,2.504,2.497,9.509,8.711
25.0,420455.391,-1.6,1.6,2.9,4.0,2.501,2.516,9.496,8.781
26.0,435795.805,-1.6,1.6,2.9,4.0,2.518,2.516,9.554,8.783
27.0,451115.859,-1.6,1.6,2.9,4.0,2.519,2.503,9.556,8.736
28.0,466449.696,-1.6,1.6,2.9,4.0,2.504,2.496,9.506,8.71
29.0,481785.898,-1.6,1.6,2.9,4.0,2.498,2.5,9.487,8.72
30.0,497100.414,-1.6,1.6,2.9,4.0,2.501,2.491,9.498,8.689
31.0,512434.729,-1.6,1.6,2.9,4.0,2.494,2.494,9.474,8.701
32.0,527788.136,-1.6,1.6,2.9,4.0,2.496,2.496,9.48,8.704
33.0,543119.083,-1.6,1.6,2.9,4.0,2.498,2.491,9.487,8.689
34.0,558446.575,-1.6,1.6,2.9,4.0,2.494,2.493,9.473,8.695
35.0,573800.769,-1.6,1.6,2.9,4.0,2.495,2.49,9.478,8.684
36.0,589155.677,-1.6,1.6,2.9,4.0,2.491,2.49,9.463,8.68
37.0,604498.724,-1.6,1.6,2.9,4.0,2.493,2.486,9.471,8.668
38.0,619857.103,-1.6,1.6,2.9,4.0,2.489,2.495,9.457,8.701
39.0,635223.269,-1.6,1.6,2.9,4.0,2.496,2.485,9.483,8.665
40.0,644650.418,-1.6,1.6,2.9,4.0,1.959,1.962,7.34,6.709
41.0,659999.409,-1.6,1.6,2.9,4.0,2.489,2.481,9.458,8.65
42.0,675361.216,-1.6,1.6,2.9,4.0,2.484,2.482,9.44,8.648
43.0,690710.713,-1.6,1.6,2.9,4.0,2.484,2.485,9.441,8.661
44.0,706057.997,-1.6,1.6,2.9,4.0,2.486,2.482,9.446,8.651
45.0,721416.952,-1.6,1.6,2.9,4.0,2.484,2.484,9.442,8.658
46.0,736771.285,-1.6,1.6,2.9,4.0,2.486,2.482,9.448,8.651
47.0,752111.426,-1.6,1.6,2.9,4.0,2.485,2.483,9.443,8.656
