Cell ID,Anode,Cathode,Source,Ah,Form Factor,Temperature (C),Max SOC,Min SOC,Charge Rate (C),Discharge Rate (C)
CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a,graphite,LCO,calce,1.35,prismatic,25,100.0,0.0,0.5,0.5
CALCE_CX2-25_prism_LCO_25C_0-100_0.5-0.5C_b,graphite,LCO,calce,1.35,prismatic,25,100.0,0.0,0.5,0.5
CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d,graphite,LCO,calce,1.35,prismatic,25,100.0,0.0,0.5,0.5
CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e,graphite,LCO,calce,1.35,prismatic,25,100.0,0.0,0.5,0.5
CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f,graphite,LCO,calce,1.35,prismatic,25,100.0,0.0,0.5,0.5
CALCE_CX2-37_prism_LCO_25C_0-100_0.5-0.5C_g,graphite,LCO,calce,1.35,prismatic,25,100.0,0.0,0.5,0.5
CALCE_CX2-38_prism_LCO_25C_0-100_0.5-0.5C_h,graphite,LCO,calce,1.35,prismatic,25,100.0,0.0,0.5,0.5
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,graphite,NMC-LCO,HNEI,2.8,18650,25,100.0,0.0,0.5,1.5
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,graphite,NMC-LCO,HNEI,2.8,18650,25,100.0,0.0,0.5,1.5
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c,graphite,NMC-LCO,HNEI,2.8,18650,25,100.0,0.0,0.5,1.5
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_d,graphite,NMC-LCO,HNEI,2.8,18650,25,100.0,0.0,0.5,1.5
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_e,graphite,NMC-LCO,HNEI,2.8,18650,25,100.0,0.0,0.5,1.5
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_f,graphite,NMC-LCO,HNEI,2.8,18650,25,100.0,0.0,0.5,1.5
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_g,graphite,NMC-LCO,HNEI,2.8,18650,25,100.0,0.0,0.5,1.5
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_j,graphite,NMC-LCO,HNEI,2.8,18650,25,100.0,0.0,0.5,1.5
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_l,graphite,NMC-LCO,HNEI,2.8,18650,25,100.0,0.0,0.5,1.5
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_m,graphite,NMC-LCO,HNEI,2.8,18650,25,100.0,0.0,0.5,1.5
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_n,graphite,NMC-LCO,HNEI,2.8,18650,25,100.0,0.0,0.5,1.5
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_o,graphite,NMC-LCO,HNEI,2.8,18650,25,100.0,0.0,0.5,1.5
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_p,graphite,NMC-LCO,HNEI,2.8,18650,25,100.0,0.0,0.5,1.5
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_s,graphite,NMC-LCO,HNEI,2.8,18650,25,100.0,0.0,0.5,1.5
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_t,graphite,NMC-LCO,HNEI,2.8,18650,25,100.0,0.0,0.5,1.5
OX_1-1_pouch_LCO_40C_0-100_2-1.84C_a,graphite,LCO,oxford,0.74,pouch,40,100.0,0.0,2.0,1.84
OX_1-2_pouch_LCO_40C_0-100_2-1.84C_b,graphite,LCO,oxford,0.74,pouch,40,100.0,0.0,2.0,1.84
OX_1-3_pouch_LCO_40C_0-100_2-1.84C_c,graphite,LCO,oxford,0.74,pouch,40,100.0,0.0,2.0,1.84
OX_1-4_pouch_LCO_40C_0-100_2-1.84C_d,graphite,LCO,oxford,0.74,pouch,40,100.0,0.0,2.0,1.84
OX_1-5_pouch_LCO_40C_0-100_2-1.84C_e,graphite,LCO,oxford,0.74,pouch,40,100.0,0.0,2.0,1.84
